SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
5924151,0.9697,0.1165,0.175,-0.1242,-0.0447,-0.0401,0.1188,0
5924651,0.9695,0.1161,0.1755,-0.1254,0.0092,-0.0119,0.121,0
5925151,0.9694,0.1163,0.1755,-0.1262,0.0074,0.014,0.0524,0
5925651,0.9693,0.1167,0.1754,-0.1268,-0.0276,-0.0197,0.1563,0
5926151,0.9692,0.1169,0.1752,-0.1275,-0.0261,-0.0655,0.1199,0
5926651,0.9692,0.1171,0.1751,-0.1279,-0.0174,-0.0609,0.1397,0
5927151,0.9692,0.1172,0.1749,-0.128,-0.0228,-0.0626,0.1135,0
5927651,0.9691,0.1174,0.1749,-0.1282,-0.0282,-0.1223,0.1383,0
5928151,0.969,0.1179,0.175,-0.1282,-0.0769,-0.2261,0.1659,0
5928651,0.9688,0.1193,0.1754,-0.128,-0.0315,-0.261,0.0917,0
5929151,0.9683,0.1224,0.1763,-0.1275,-0.228,0.0375,0.2232,0
5929651,0.9685,0.1245,0.1743,-0.1268,0.0305,-0.2108,0.3413,0
5930151,0.9695,0.1274,0.1675,-0.1257,-0.2403,-0.2304,0.2623,0
5930651,0.9708,0.1343,0.1591,-0.1193,-0.4817,-0.8481,0.4966,0
5931151,0.9718,0.149,0.1457,-0.1107,-0.5706,-0.7618,0.6693,0
5931651,0.9719,0.1708,0.1271,-0.1003,-0.3935,-0.2014,0.6282,0
5932151,0.9713,0.1956,0.103,-0.0881,-0.3171,-0.0063,0.2538,0
5932651,0.969,0.2224,0.077,-0.0757,-0.149,0.2419,-0.086,0
5933151,0.9651,0.249,0.0508,-0.063,-0.0532,0.1907,-0.3843,0
5933651,0.9603,0.2736,0.0259,-0.0483,0.0302,0.4143,-0.1505,0
5934151,0.9547,0.2957,0.001,-0.0333,0.0896,-0.1963,-0.3505,0
5934651,0.9478,0.3173,-0.0225,-0.0202,0.0626,0.3309,0.0375,0
5935151,0.9422,0.3322,-0.044,-0.0072,-0.2137,0.0975,0.2873,0
5935651,0.9379,0.3405,-0.0666,0.0051,0.2668,-0.1213,-0.1771,0
5936151,0.9338,0.3474,-0.0842,0.0144,0.2906,-0.0619,-0.3464,0
5936651,0.9305,0.3532,-0.0948,0.02,0.6156,0.038,-0.6772,0
5937151,0.9292,0.356,-0.097,0.0211,0.0656,-0.0695,-0.4399,0
5937651,0.9294,0.357,-0.092,0.0174,0.5682,0.5776,-0.3864,0
5938151,0.9314,0.355,-0.0802,0.0097,0.1632,-0.2145,-0.2846,0
5938651,0.9336,0.3524,-0.0657,-0.003,0.1191,0.1176,0.2965,0
5939151,0.9376,0.3435,-0.051,-0.0173,0.0115,-0.4681,0.2343,0
5939651,0.9412,0.3344,-0.0352,-0.0334,-0.0626,0.0369,-0.3449,0
5940151,0.9452,0.3224,-0.017,-0.0495,-0.2937,-0.3336,0.0571,0
5940651,0.9484,0.3097,0.0036,-0.0688,0.2703,-0.0142,-0.0808,0
5941151,0.9505,0.2973,0.0289,-0.0861,-0.1934,0.2618,0.0075,0
5941651,0.9532,0.2793,0.053,-0.1033,0.3576,-0.2845,0.0779,0
5942151,0.9541,0.2616,0.0804,-0.1217,-1.3296,-0.7233,0.8686,0
5942651,0.9535,0.2468,0.1007,-0.1409,0.38,-0.3965,0.4648,0
5943151,0.9517,0.2335,0.1208,-0.1586,-0.8157,0.2148,0.5082,0
5943651,0.9507,0.219,0.1346,-0.1735,0.0805,-0.3312,0.4379,0
5944151,0.9493,0.2111,0.144,-0.1834,-0.4295,-0.3038,0.7737,0
5944651,0.9494,0.2087,0.1442,-0.1853,-0.3077,-0.5751,0.6712,0
5945151,0.9501,0.2137,0.1389,-0.1801,-0.3201,-0.2925,0.6385,0
5945651,0.9514,0.2225,0.1288,-0.1695,-0.2478,-0.2277,0.3746,0
5946151,0.9526,0.2343,0.115,-0.1562,-0.4188,-0.1307,0.311,0
5946651,0.9534,0.2482,0.0975,-0.1414,-0.4491,-0.3685,0.2307,0
5947151,0.9534,0.2633,0.0766,-0.126,-0.4201,-0.3781,0.2241,0
5947651,0.9517,0.2807,0.054,-0.1122,-0.2262,-0.1156,0.1953,0
5948151,0.9497,0.2953,0.0318,-0.0993,-0.1778,-0.1721,0.1111,0
5948651,0.947,0.3092,0.0098,-0.0867,-0.2953,-0.2426,-0.0532,0
5949151,0.9434,0.3227,-0.0123,-0.0752,-0.0178,-0.0889,0.0788,0
5949651,0.9399,0.3338,-0.0339,-0.0639,-0.0138,0.0485,0.0452,0
5950151,0.936,0.3439,-0.0544,-0.0515,-0.1041,-0.0955,-0.1332,0
5950651,0.9321,0.3525,-0.0738,-0.0389,0.0158,0.0058,-0.1418,0
5951151,0.9286,0.3591,-0.0896,-0.0276,-0.1313,-0.1758,-0.327,0
5951651,0.9258,0.3635,-0.1019,-0.0184,0.1958,-0.2364,-0.1615,0
5952151,0.924,0.367,-0.107,-0.0115,0.5112,-0.162,-0.2756,0
5952651,0.9236,0.3689,-0.1043,-0.0082,-0.2307,-0.607,-0.5054,0
5953151,0.9243,0.3692,-0.0961,-0.0107,0.4043,0.1426,-0.3579,0
5953651,0.9265,0.3665,-0.0836,-0.017,-0.1114,-0.4442,-0.4223,0
5954151,0.9291,0.3622,-0.0685,-0.0287,-0.1563,-0.0103,0.0888,0
5954651,0.9329,0.3538,-0.0517,-0.0421,-0.2309,-0.5569,0.2882,0
5955151,0.9361,0.3452,-0.0339,-0.0583,-0.2314,-0.1766,-0.348,0
5955651,0.9385,0.3367,-0.0116,-0.0755,-0.175,-0.1154,0.2035,0
5956151,0.9405,0.326,0.0144,-0.0949,-0.0947,-0.0997,0.0914,0
5956651,0.9424,0.3117,0.0419,-0.1141,0.3232,-0.2012,-0.4451,0
5957151,0.9434,0.2966,0.0713,-0.1303,-1.0033,-0.3766,0.2444,0
5957651,0.9432,0.2812,0.0971,-0.148,0.2703,-0.1635,-0.0625,0
5958151,0.9417,0.2681,0.1231,-0.162,0.5557,-0.1583,0.2933,0
5958651,0.9389,0.2583,0.1491,-0.1718,-1.9725,-1.069,1.1337,0
5959151,0.9367,0.2534,0.1609,-0.1802,0.1279,-0.1205,0.7532,0
5959651,0.9366,0.2513,0.1644,-0.1807,-0.6959,-0.4359,1.3715,0
5960151,0.938,0.2546,0.1563,-0.1759,-0.2191,-0.1886,1.1464,0
5960651,0.9409,0.2606,0.1396,-0.1651,-0.5808,-0.4147,0.6851,0
5961151,0.9435,0.2707,0.1167,-0.1515,-0.2723,-0.1404,0.3762,0
5961651,0.9455,0.2823,0.0903,-0.1352,-0.3184,-0.2477,0.055,0
5962151,0.9466,0.2933,0.0637,-0.1178,-0.2888,-0.351,-0.3202,0
5962651,0.9461,0.3054,0.0371,-0.1016,-0.0298,-0.0071,-0.2288,0
5963151,0.9445,0.3167,0.0138,-0.0861,-0.0973,-0.133,-0.2123,0
5963651,0.9422,0.3273,-0.0072,-0.0711,-0.0511,-0.1464,-0.2682,0
5964151,0.9391,0.3378,-0.0253,-0.0579,-0.0804,-0.0621,-0.2928,0
5964651,0.9359,0.347,-0.0411,-0.0454,-0.1047,-0.1162,0.0974,0
5965151,0.9327,0.3545,-0.0572,-0.0337,-0.061,-0.0225,-0.0187,0
5965651,0.9294,0.3611,-0.0724,-0.0228,0.1796,-0.2985,-0.2577,0
5966151,0.9261,0.3676,-0.0835,-0.0126,-0.1082,-0.3128,-0.1832,0
5966651,0.9243,0.3714,-0.0883,-0.0059,0.0472,-0.1771,-0.3239,0
5967151,0.924,0.3723,-0.0871,-0.0036,0.0151,-0.2286,-0.2864,0
5967651,0.9249,0.3716,-0.0802,-0.0052,0.4258,0.0133,-0.4062,0
5968152,0.9266,0.3696,-0.069,-0.0104,-0.1776,-0.1184,-0.0121,0
5968652,0.9292,0.3648,-0.0566,-0.0183,0.1519,-0.1508,-0.0854,0
5969152,0.9319,0.3593,-0.0421,-0.0279,0.1759,-0.1967,0.3517,0
5969652,0.9347,0.3523,-0.0266,-0.0386,-0.3821,-0.4729,-0.3751,0
5970152,0.9362,0.3474,-0.0086,-0.0533,-0.0233,-0.0416,-0.147,0
5970652,0.9392,0.3361,0.0113,-0.0687,-0.6872,-0.5272,-0.0823,0
5971152,0.9406,0.3275,0.0305,-0.0844,-0.2525,-0.28,-0.4095,0
5971652,0.9415,0.3172,0.0526,-0.1005,0.4917,0.1599,0.7976,0
5972152,0.9419,0.3066,0.078,-0.1129,-0.2025,-0.6828,-0.4965,0
5972652,0.9414,0.2952,0.1038,-0.1258,0.0732,0.0631,-0.1028,0
5973152,0.9405,0.2831,0.1283,-0.1373,-0.6363,-0.4061,0.5633,0
5973652,0.9389,0.2771,0.1434,-0.1453,-0.4546,-0.2069,1.3309,0
5974152,0.9387,0.2737,0.1477,-0.1484,-0.5124,-0.1285,1.4342,0
5974652,0.9404,0.2737,0.1395,-0.1457,-0.2007,-0.2279,1.1075,0
5975152,0.9423,0.2783,0.1243,-0.138,-0.3936,-0.2088,0.5477,0
5975652,0.9439,0.286,0.1046,-0.1276,-0.3064,-0.1338,0.1768,0
