SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
8379036,0.2263,-0.5087,0.581,-0.5937,-0.0603,-0.0457,0.082,0
8379202,0.2264,-0.5087,0.5807,-0.5939,-0.088,-0.0816,0.0026,0
8379703,0.2263,-0.5091,0.5809,-0.5935,-0.0498,0.0459,0.105,0
8380203,0.2269,-0.5085,0.5814,-0.5932,-0.1108,0.0655,0.1069,0
8380703,0.2274,-0.5078,0.5818,-0.5933,-0.0922,0.0149,0.0371,0
8381203,0.2275,-0.5075,0.5819,-0.5933,-0.1332,0.0076,-0.0133,0
8381703,0.2268,-0.5071,0.5826,-0.5933,-0.0831,0.0825,-0.0042,0
8382203,0.226,-0.5069,0.5833,-0.5931,-0.0299,0.0977,0.0289,0
8382703,0.2259,-0.5065,0.5834,-0.5933,0.0386,0.0204,-0.0027,0
8383203,0.2256,-0.5057,0.5841,-0.5935,0.0002,-0.0242,-0.0208,0
8383703,0.2255,-0.505,0.585,-0.5932,-0.0218,0.045,0.0967,0
8384203,0.2266,-0.5052,0.5848,-0.5928,-0.0907,-0.0014,0.0308,0
8384703,0.2264,-0.5049,0.5861,-0.592,-0.0334,0.0378,0.1643,0
8385203,0.2268,-0.505,0.5857,-0.592,0.0531,-0.0904,0.2457,0
8385703,0.227,-0.5053,0.5853,-0.5921,0.044,-0.2694,0.1897,0
8386203,0.2264,-0.5051,0.5857,-0.5921,0.1114,-0.3943,0.319,0
8386703,0.2254,-0.5043,0.5857,-0.5932,0.0083,-0.0031,0.6723,0
8387203,0.2249,-0.5037,0.5815,-0.5979,-0.1539,-0.0818,0.4408,0
8387703,0.2206,-0.5031,0.5777,-0.6038,-0.012,0.1826,0.997,0
8388203,0.2138,-0.503,0.5696,-0.6139,-0.1201,0.4191,1.6488,0
8388703,0.2025,-0.5035,0.5538,-0.6315,-0.0655,0.8491,1.985,0
8389203,0.188,-0.505,0.5253,-0.6586,-0.2104,0.7939,1.3074,0
8389703,0.1637,-0.5098,0.4943,-0.6848,-0.6237,1.0839,1.1978,0
8390203,0.1339,-0.5136,0.4538,-0.7158,-0.4631,1.3569,0.3501,0
8390703,0.1088,-0.5168,0.3965,-0.751,-0.8791,1.0409,-0.8796,0
8391203,0.0753,-0.5184,0.3477,-0.7777,-0.5096,0.2083,-1.4626,0
8391703,0.0477,-0.5179,0.2991,-0.8,0.0354,-1.2593,-2.0996,0
8392203,0.0231,-0.5179,0.2696,-0.8115,-0.2227,-0.6215,-1.6899,0
8392703,0.0057,-0.5161,0.2526,-0.8184,0.009,-1.2313,-1.6137,0
8393203,0.0002,-0.5148,0.2458,-0.8213,-0.0267,-1.4735,-1.6446,0
8393703,0.0086,-0.5157,0.2504,-0.8193,-0.2869,-1.1109,-1.5284,0
8394203,0.0209,-0.5156,0.2734,-0.8118,-0.4095,-0.471,-1.1427,0
8394703,0.0382,-0.5133,0.3024,-0.8022,0.1587,-0.4088,-1.0537,0
8395203,0.0671,-0.5137,0.3314,-0.7885,-0.4461,-0.1646,-1.0911,0
8395703,0.0888,-0.5112,0.3763,-0.7676,-0.3615,0.0863,-0.9386,0
8396203,0.1159,-0.5077,0.4168,-0.745,-0.1338,0.3637,-0.3827,0
8396703,0.1414,-0.5049,0.4562,-0.719,-0.6809,0.8017,0.4293,0
8397203,0.159,-0.5,0.4926,-0.6943,-0.3978,0.4501,0.6871,0
8397703,0.1815,-0.4931,0.5152,-0.6771,-0.5597,0.0627,0.4813,0
8398203,0.1969,-0.4859,0.5394,-0.6589,-0.3352,0.1246,0.45,0
8398703,0.2145,-0.48,0.5561,-0.6437,-0.3682,0.0324,0.2589,0
8399203,0.2244,-0.4753,0.5767,-0.6254,-0.17,0.023,0.7659,0
8399703,0.2319,-0.4725,0.5912,-0.6111,-0.304,0.2876,1.8022,0
8400203,0.2346,-0.4704,0.5982,-0.6048,-0.0582,0.1528,1.8395,0
8400703,0.2342,-0.4702,0.597,-0.6064,-0.0706,-0.1095,1.7987,0
8401203,0.2284,-0.4728,0.5908,-0.6126,-0.227,-0.0576,1.836,0
8401703,0.216,-0.4774,0.5788,-0.6248,-0.5499,0.3998,1.8926,0
8402203,0.199,-0.4814,0.5559,-0.6478,-0.4021,0.1152,0.9822,0
8402703,0.1773,-0.485,0.5272,-0.6748,-0.2765,0.1313,0.2954,0
8403203,0.1533,-0.4902,0.4976,-0.699,-0.4315,0.3629,0.2116,0
8403703,0.1256,-0.4948,0.4662,-0.7225,-0.1619,0.5655,-0.348,0
8404203,0.0998,-0.4989,0.4298,-0.7459,-0.224,0.4991,-0.5164,0
8404703,0.0708,-0.502,0.3996,-0.7637,-0.3467,0.439,-0.5975,0
8405203,0.0463,-0.5041,0.367,-0.7804,-0.4248,0.3107,-0.7663,0
8405703,0.025,-0.5036,0.3352,-0.7958,-0.3432,-0.2834,-1.3169,0
8406203,0.0072,-0.5025,0.3113,-0.8066,-0.3168,-0.8373,-1.772,0
8406703,-0.0008,-0.502,0.2962,-0.8126,-0.3011,-1.3393,-1.8067,0
8407203,0.0032,-0.5021,0.2948,-0.813,-0.3085,-1.9299,-2.2178,0
8407703,0.0165,-0.5025,0.3171,-0.8041,-0.5562,-1.0241,-1.656,0
8408203,0.032,-0.4986,0.358,-0.7888,-0.0087,-0.6213,-1.4619,0
8408703,0.0632,-0.4957,0.395,-0.7709,-0.3022,-0.5694,-1.7666,0
8409203,0.0923,-0.4884,0.445,-0.745,-0.1908,1.0849,-0.7357,0
8409703,0.1306,-0.4806,0.4798,-0.7223,-0.3155,0.9214,0.0537,0
8410203,0.1603,-0.4716,0.5167,-0.6964,-0.407,0.8297,0.4092,0
8410703,0.1837,-0.4646,0.5494,-0.6698,-0.5784,0.6021,1.4211,0
8411203,0.2043,-0.4557,0.5706,-0.6519,-0.3925,-0.3634,1.0739,0
8411703,0.2214,-0.4459,0.5902,-0.6355,-0.3028,0.1237,1.8458,0
8412203,0.2281,-0.4391,0.6064,-0.6224,0.1839,0.0001,1.8954,0
8412703,0.233,-0.438,0.6106,-0.6173,-0.5904,0.0201,2.1367,0
8413203,0.2301,-0.4383,0.6085,-0.6203,-0.5538,0.1928,2.1518,0
