SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10496789,0.926,-0.3201,-0.0216,0.199,0.0287,-0.0277,-0.108,0
10497289,0.9257,-0.3209,-0.0226,0.1988,0.0782,-0.0206,-0.0963,0
10497789,0.9257,-0.321,-0.0236,0.1989,-0.0064,-0.0326,-0.1929,0
10498289,0.9255,-0.3211,-0.0238,0.1993,0.015,-0.0562,-0.1305,0
10498789,0.9254,-0.3212,-0.0237,0.1996,-0.0064,-0.0498,-0.0823,0
10499289,0.9254,-0.3212,-0.0235,0.1999,0.0308,-0.0797,-0.1077,0
10499789,0.9253,-0.3212,-0.0234,0.2002,0.1082,-0.0861,-0.093,0
10500289,0.9253,-0.321,-0.0234,0.2003,0.107,-0.0762,-0.0908,0
10500789,0.9255,-0.3206,-0.0233,0.2004,0.1061,-0.056,-0.0804,0
10501289,0.9256,-0.32,-0.0232,0.2006,0.1261,-0.0339,-0.1366,0
10501789,0.9259,-0.3194,-0.0226,0.2006,0.1387,-0.019,-0.088,0
10502289,0.9261,-0.3188,-0.0221,0.2002,-0.1107,-0.0612,-0.0448,0
10502789,0.9263,-0.3186,-0.0221,0.1997,-0.1024,-0.0065,0.0277,0
10503289,0.9261,-0.3195,-0.0236,0.1994,-0.6998,0.2183,0.1705,0
10503789,0.9224,-0.329,-0.0274,0.2006,0.1717,0.1968,-0.7169,0
10504289,0.9179,-0.3397,-0.0294,0.2029,0.4162,-0.1632,-0.4818,0
10504789,0.9156,-0.3393,-0.0319,0.2134,-0.4704,-0.4472,0.6039,0
10505289,0.9138,-0.3374,-0.0387,0.2229,-1.3044,0.1083,0.6755,0
10505789,0.9123,-0.3387,-0.0564,0.2232,-1.3861,0.0023,0.3268,0
10506289,0.9117,-0.3426,-0.0879,0.2088,-0.7572,0.2167,-0.4122,0
10506789,0.9102,-0.3458,-0.1294,0.1875,-0.2222,0.0147,-0.3527,0
10507289,0.9076,-0.3446,-0.1732,0.166,0.1905,-0.3491,-0.2251,0
10507789,0.9043,-0.3399,-0.2134,0.1456,1.2241,-0.6419,-0.0492,0
10508289,0.9021,-0.3291,-0.248,0.1279,1.1355,-0.3823,-0.1858,0
10508789,0.901,-0.3138,-0.2787,0.1098,1.4799,-0.4528,-0.1733,0
10509289,0.9001,-0.2989,-0.3033,0.0917,1.3187,-0.0543,-0.0366,0
10509789,0.8998,-0.2855,-0.3219,0.0727,0.8046,-0.2512,-0.2268,0
10510289,0.8993,-0.2741,-0.3366,0.0534,0.7498,-0.1798,0.0237,0
10510790,0.8984,-0.2647,-0.3491,0.0319,0.7435,-0.3882,0.3904,0
10511290,0.898,-0.256,-0.3576,0.0131,0.4745,-0.0413,-0.0082,0
10511790,0.8978,-0.2497,-0.3628,-0.0025,0.4953,-0.3207,0.1411,0
10512290,0.8981,-0.2459,-0.3644,-0.0157,0.0811,0.3865,-1.1687,0
10512790,0.8979,-0.2489,-0.3624,-0.0209,0.4632,0.1421,-0.892,0
10513290,0.8999,-0.2531,-0.355,-0.0118,-0.1681,0.1393,-1.6083,0
10513790,0.9002,-0.2668,-0.344,0.0088,0.6091,-0.0617,0.2127,0
10514290,0.9001,-0.2828,-0.3301,0.0293,0.708,-0.1354,0.2855,0
10514790,0.9018,-0.2958,-0.3105,0.0541,-0.4748,-0.3042,0.2909,0
10515290,0.9016,-0.3112,-0.2902,0.0781,0.7563,0.1992,-0.5506,0
10515790,0.8986,-0.3336,-0.2681,0.0969,0.8882,-0.4948,0.0592,0
10516290,0.8962,-0.3511,-0.2453,0.1153,0.0044,-0.417,0.7069,0
10516790,0.894,-0.3653,-0.2221,0.1339,0.0139,0.1069,-0.9661,0
10517290,0.8887,-0.3822,-0.2022,0.1527,0.2044,-0.4638,-0.771,0
10517790,0.8838,-0.3936,-0.1838,0.1738,0.3853,0.4298,0.128,0
10518290,0.8769,-0.4063,-0.1697,0.1927,0.2243,-0.8592,0.0599,0
10518790,0.8736,-0.4111,-0.1605,0.2049,0.094,-0.6144,0.8372,0
10519290,0.8727,-0.4124,-0.158,0.2083,-0.7516,-0.7054,0.6607,0
10519790,0.8739,-0.4083,-0.1656,0.2054,-0.2354,-0.7166,0.8698,0
10520290,0.877,-0.3994,-0.1802,0.1972,-0.1526,-0.4436,0.3806,0
10520790,0.8803,-0.3885,-0.2005,0.1842,0.1219,-0.4872,0.1349,0
10521290,0.8837,-0.3755,-0.2235,0.1678,0.4013,-0.4212,-0.088,0
10521790,0.8864,-0.3614,-0.2474,0.1498,0.4497,-0.1085,-0.0502,0
10522290,0.8881,-0.3481,-0.2701,0.1309,0.2624,-0.0581,-0.5174,0
10522790,0.888,-0.3381,-0.2911,0.1111,0.208,-0.1164,-0.0974,0
10523290,0.8886,-0.3265,-0.3086,0.0926,0.4367,-0.3056,0.0296,0
10523790,0.8892,-0.3137,-0.3243,0.0764,0.4388,-0.2294,-0.0956,0
10524290,0.8893,-0.3008,-0.339,0.0614,0.3946,0.0118,-0.1653,0
10524790,0.8888,-0.2903,-0.3517,0.0461,0.078,-0.0992,0.0455,0
10525290,0.8889,-0.2797,-0.3615,0.032,0.3199,-0.0279,-0.3638,0
10525790,0.8884,-0.2714,-0.3699,0.0182,0.3949,-0.1953,-0.4571,0
10526290,0.8873,-0.2658,-0.3769,0.0062,0.3285,-0.1321,-0.3834,0
10526790,0.8864,-0.2603,-0.3829,-0.0041,0.0944,-0.3731,-0.0382,0
10527290,0.8861,-0.255,-0.3868,-0.0111,0.2052,-0.1869,-0.0839,0
10527790,0.8859,-0.2528,-0.3886,-0.0154,0.1331,-0.2546,-0.3915,0
10528290,0.8862,-0.2525,-0.3882,-0.0158,0.289,0.4753,-1.1883,0
10528790,0.8853,-0.2588,-0.3862,-0.0103,0.282,-0.2933,0.1835,0
10529290,0.8852,-0.2652,-0.3822,0.003,0.0891,-0.3723,0.0062,0
10529790,0.8863,-0.2719,-0.3741,0.0234,0.2069,0.104,0.004,0
10530290,0.8862,-0.2829,-0.3639,0.0461,-0.0501,0.2974,-0.1388,0
10530790,0.8858,-0.2969,-0.3497,0.0703,0.546,-0.5605,0.0482,0
10531290,0.8845,-0.3134,-0.3328,0.0931,0.7164,0.0632,-0.6044,0
10531790,0.8821,-0.3336,-0.3115,0.1165,0.115,-0.1481,0.9231,0
10532290,0.8799,-0.3515,-0.2875,0.14,0.1636,-0.0206,-0.848,0
10532790,0.8755,-0.3725,-0.2611,0.1628,0.2159,-0.4095,-1.0832,0
10533290,0.8687,-0.3947,-0.2339,0.187,0.4934,-0.1783,0.2914,0
10533790,0.8624,-0.4117,-0.2099,0.2064,0.0857,-0.4918,-0.3347,0
10534290,0.857,-0.4251,-0.1889,0.2217,0.0659,-0.0207,0.0523,0
10534790,0.854,-0.4335,-0.1711,0.2312,-0.4899,0.1934,0.6255,0
10535290,0.8497,-0.4444,-0.1576,0.236,-0.5826,-0.6556,0.1392,0
10535790,0.8482,-0.4493,-0.1511,0.2364,0.2494,-0.0345,0.1889,0
10536290,0.8478,-0.4529,-0.1485,0.2326,-0.616,-0.9882,0.6606,0
10536790,0.8497,-0.4504,-0.1556,0.2255,-0.1255,-0.3115,0.5603,0
10537290,0.854,-0.4423,-0.1705,0.2143,-0.5406,-0.4479,0.3501,0
10537790,0.8592,-0.43,-0.1919,0.2001,-0.1523,-0.4627,0.2515,0
10538290,0.8645,-0.4144,-0.2167,0.1844,0.0374,-0.3459,-0.1686,0
10538790,0.8699,-0.3951,-0.2423,0.1686,0.1277,-0.385,-0.1992,0
10539290,0.8743,-0.3745,-0.2684,0.1525,0.0318,-0.0341,-0.4776,0
10539790,0.8764,-0.3555,-0.2953,0.1354,-0.0045,-0.1025,-0.3992,0
10540290,0.8781,-0.3346,-0.3216,0.1166,0.2414,-0.3558,0.064,0
10540790,0.8796,-0.3124,-0.3449,0.0986,0.3389,0.0903,-0.2633,0
10541290,0.8781,-0.2944,-0.3694,0.0768,0.9205,-0.16,-0.2664,0
10541790,0.8761,-0.2828,-0.3875,0.0472,0.9077,-0.2476,0.6306,0
10542290,0.8762,-0.2661,-0.4013,0.0202,0.6615,-0.0996,0.3874,0
10542790,0.8758,-0.2519,-0.4118,-0.0054,0.0173,-0.3694,-0.0072,0
10543290,0.8747,-0.2437,-0.418,-0.0273,0.5074,0.0013,-0.2671,0
10543790,0.8738,-0.2399,-0.4206,-0.0442,-0.0199,0.4021,-1.5007,0
10544290,0.8728,-0.2412,-0.4211,-0.051,-0.1157,0.1539,-0.7117,0
10544790,0.873,-0.2454,-0.419,-0.0456,0.3597,0.1474,-0.31,0
10545290,0.8739,-0.2551,-0.4126,-0.0322,0.1314,0.3812,-0.7452,0
10545790,0.8747,-0.27,-0.4023,-0.0134,-0.4085,0.5139,-0.7371,0
10546290,0.8753,-0.2912,-0.3859,0.0144,0.4901,-0.4083,0.8026,0
10546790,0.8761,-0.3156,-0.3617,0.0443,-0.0789,0.1357,-0.1343,0
10547290,0.8764,-0.3434,-0.3286,0.078,0.287,0.6339,-1.099,0
10547790,0.8686,-0.3887,-0.2883,0.1065,0.8694,-0.1847,0.8105,0
