SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10243575,0.5881,0.4563,0.5383,-0.3952,-0.0097,0.003,-0.1001,0
10243741,0.5879,0.4566,0.5383,-0.3952,-0.0139,0.0409,-0.1015,0
10244241,0.5872,0.4577,0.5385,-0.3946,-0.0028,0.0322,-0.1171,0
10244741,0.5865,0.4586,0.5389,-0.394,-0.0475,-0.0216,-0.0904,0
10245241,0.586,0.4592,0.5391,-0.3939,-0.0255,-0.0646,-0.0639,0
10245741,0.5853,0.4599,0.5388,-0.3945,-0.0274,-0.0221,-0.0834,0
10246241,0.5848,0.4603,0.5386,-0.3951,-0.0599,-0.0106,-0.0213,0
10246741,0.5841,0.4613,0.5379,-0.3957,-0.09,-0.0604,-0.0297,0
10247241,0.5835,0.4633,0.5365,-0.3964,-0.8355,0.1576,0.3313,0
10247741,0.5846,0.4641,0.533,-0.3985,-1.5908,-0.2927,-0.3546,0
10248241,0.5752,0.4754,0.5228,-0.4121,-3.4108,-0.083,-0.4909,0
10248741,0.5463,0.5111,0.489,-0.4486,1.7575,-0.1529,1.0373,0
10249241,0.5261,0.5584,0.4247,-0.4806,5.8175,-1.5394,0.9109,0
10249741,0.5251,0.6156,0.3295,-0.4865,6.7669,-2.0886,1.3441,0
10250241,0.5373,0.6769,0.2096,-0.4574,4.7591,-1.4478,3.3704,0
10250741,0.5514,0.7299,0.0837,-0.3952,1.345,-0.9632,4.686,0
10251241,0.5658,0.7617,-0.0261,-0.3146,-2.26,0.6321,4.6022,0
10251741,0.5881,0.768,-0.1067,-0.23,-4.0656,1.8878,2.3744,0
10252241,0.6137,0.7563,-0.1659,-0.1547,-3.5447,2.4196,0.0513,0
10252741,0.6426,0.7319,-0.2085,-0.0886,-2.8144,2.4536,-1.571,0
10253241,0.6634,0.707,-0.2431,-0.0327,-1.3248,1.8239,-2.4215,0
10253741,0.6774,0.6826,-0.2736,0.0186,-1.5433,0.7099,-2.1816,0
10254241,0.6859,0.6599,-0.2999,0.0637,-0.4589,0.6283,-1.7478,0
10254741,0.6957,0.6347,-0.3198,0.1042,-0.8566,-0.2478,-2.2292,0
10255241,0.7052,0.6101,-0.3348,0.1356,0.458,-1.0573,-2.8654,0
10255741,0.7098,0.5925,-0.3477,0.1557,1.2804,-1.1228,-2.8432,0
10256241,0.7108,0.5834,-0.3556,0.1671,1.5717,-2.2637,-4.1978,0
10256741,0.7071,0.5865,-0.3575,0.1679,0.9352,-3.2093,-4.0272,0
10257241,0.7028,0.5951,-0.3575,0.155,0.1594,-2.4126,-3.7438,0
10257741,0.6969,0.6109,-0.3535,0.1276,0.0541,-2.0403,-2.854,0
10258241,0.6899,0.6267,-0.3502,0.0929,-0.3512,0.5678,-2.1612,0
10258741,0.6814,0.6444,-0.343,0.0527,-0.6945,0.4102,-1.824,0
10259241,0.6611,0.6716,-0.3343,0.0145,-1.1377,0.6358,-1.0772,0
10259741,0.6372,0.6962,-0.3291,-0.03,-1.6074,0.7854,1.3634,0
10260242,0.6201,0.7121,-0.3203,-0.0764,-1.9489,1.4169,-0.6597,0
10260742,0.5935,0.7308,-0.3153,-0.1197,-0.6216,1.2911,-0.4808,0
10261242,0.564,0.748,-0.3083,-0.1656,-0.4964,0.1591,1.6596,0
10261742,0.5353,0.7607,-0.3001,-0.2114,0.0597,0.3725,1.9561,0
10262242,0.5089,0.7697,-0.2952,-0.248,0.8616,-0.2645,3.0143,0
10262742,0.4904,0.7747,-0.2921,-0.272,1.7032,-0.8621,3.7361,0
10263242,0.4805,0.777,-0.2956,-0.2794,2.6422,-1.9257,4.6076,0
10263742,0.4791,0.7788,-0.3051,-0.2662,1.4929,-1.3354,3.9885,0
10264242,0.4891,0.7768,-0.3162,-0.2395,0.5762,-0.3184,2.4906,0
10264742,0.5053,0.7718,-0.3277,-0.2042,-0.4812,0.2996,1.6785,0
10265242,0.5267,0.762,-0.3376,-0.1672,-0.9,0.6664,0.1541,0
10265742,0.5475,0.7501,-0.3473,-0.1306,-1.1336,0.5778,-0.4189,0
10266242,0.5685,0.7359,-0.3547,-0.0978,-0.8983,0.5125,-0.5937,0
10266742,0.5858,0.723,-0.3602,-0.067,-0.9393,0.182,-0.256,0
10267242,0.6005,0.7095,-0.367,-0.0371,-0.8268,0.0583,-0.4448,0
10267742,0.6124,0.6956,-0.3754,-0.0087,-1.0498,0.0447,-0.5219,0
10268242,0.6245,0.6802,-0.3834,0.0179,-0.5004,0.286,-0.5217,0
10268742,0.6356,0.665,-0.3899,0.0426,-0.6648,0.2206,-0.9512,0
10269242,0.6439,0.6523,-0.3946,0.0657,-0.765,0.0392,-0.6058,0
10269742,0.6539,0.6377,-0.3974,0.0887,-0.1517,-0.3846,-1.2691,0
10270242,0.6597,0.6271,-0.3996,0.1095,-0.4647,-0.3654,-0.6151,0
10270742,0.6667,0.6143,-0.4026,0.1268,0.0129,-1.0137,-1.3664,0
10271242,0.67,0.6064,-0.4047,0.1402,-0.4278,-1.4814,-1.6252,0
10271742,0.6759,0.597,-0.4067,0.1463,-0.0243,-0.9981,-1.3588,0
10272242,0.6788,0.5933,-0.4065,0.1483,0.388,-1.5803,-2.6482,0
10272742,0.6742,0.6003,-0.405,0.1455,-0.0665,-1.7633,-1.9514,0
10273242,0.6715,0.6055,-0.4055,0.1341,-0.3226,-0.9439,-1.7021,0
10273742,0.666,0.6183,-0.4022,0.1115,0.2726,-2.1326,-3.5843,0
10274242,0.6536,0.6382,-0.3981,0.0845,-0.572,-0.6877,-1.8902,0
10274742,0.6422,0.6575,-0.3916,0.0444,-1.8521,-0.0298,-2.0149,0
10275242,0.6262,0.6782,-0.3847,-0.0003,-1.3148,0.7938,-2.146,0
10275742,0.6047,0.6999,-0.3772,-0.0471,-1.9994,1.335,-0.7217,0
10276242,0.5792,0.7197,-0.3708,-0.0957,-1.7542,1.4164,-0.4783,0
10276742,0.5447,0.7412,-0.3624,-0.1502,-1.5132,1.5042,0.4139,0
10277242,0.5079,0.7588,-0.3527,-0.2045,-0.4221,0.4456,2.7795,0
10277742,0.4774,0.7708,-0.3396,-0.2503,-0.2938,1.2038,2.9052,0
10278242,0.4498,0.7801,-0.3259,-0.2881,0.6825,-0.5478,2.4553,0
10278742,0.4282,0.7884,-0.3076,-0.317,0.4531,-1.3588,2.0059,0
10279242,0.4183,0.7898,-0.2943,-0.3386,0.7814,-1.6443,2.1792,0
10279742,0.4137,0.7919,-0.2842,-0.3478,0.5435,-1.1387,1.7632,0
10280242,0.4167,0.7931,-0.279,-0.3458,1.5456,-1.5566,2.4439,0
10280742,0.423,0.7958,-0.2854,-0.3261,1.2953,-1.8741,3.5809,0
10281242,0.4378,0.7974,-0.2968,-0.2906,0.4683,-0.7427,2.8864,0
10281742,0.4578,0.7961,-0.3117,-0.2439,-0.4985,0.0516,2.2574,0
10282242,0.4799,0.791,-0.3279,-0.1911,-1.2304,0.4916,1.747,0
10282742,0.5052,0.7806,-0.3416,-0.1369,-1.7797,1.39,0.6714,0
10283242,0.5337,0.7635,-0.3532,-0.0868,-2.101,0.8788,-0.0816,0
10283742,0.5579,0.7441,-0.3653,-0.0397,-1.9616,1.0463,-0.1088,0
10284242,0.5788,0.7236,-0.376,0.0011,-1.7788,0.6363,-0.4716,0
10284742,0.5993,0.7007,-0.3852,0.0385,-1.6107,0.7022,-1.1035,0
10285242,0.6168,0.6767,-0.3953,0.0731,-0.9293,0.1941,-1.3347,0
10285742,0.6322,0.6531,-0.4034,0.1047,-0.8312,0.7292,-1.5941,0
10286242,0.6436,0.6327,-0.4097,0.1328,-0.149,0.0582,-1.2867,0
10286742,0.6527,0.6155,-0.4113,0.1611,-0.5206,-0.5365,-1.2387,0
10287242,0.6605,0.5998,-0.4127,0.1833,0.0275,-0.7854,-1.422,0
10287742,0.6637,0.5896,-0.4129,0.2033,0.2457,-1.709,-2.7493,0
10288242,0.6609,0.5889,-0.4113,0.2174,0.7283,-2.94,-2.9917,0
10288742,0.6587,0.5919,-0.4106,0.217,0.649,-2.6744,-3.0588,0
10289242,0.6549,0.6015,-0.4082,0.2066,0.3399,-1.7312,-2.73,0
10289742,0.6484,0.6194,-0.4018,0.1858,0.2659,-1.2547,-3.0583,0
10290242,0.643,0.6419,-0.3883,0.1541,-0.6041,-0.0221,-5.3962,0
10290742,0.6322,0.6721,-0.369,0.1114,-1.0345,-0.1894,-3.454,0
10291242,0.6124,0.7085,-0.3458,0.0588,-3.1052,1.1847,-4.3308,0
10291742,0.5831,0.7441,-0.3259,-0.0057,-3.9642,2.9831,-2.3585,0
10292242,0.5504,0.7764,-0.2932,-0.0912,-5.5099,3.3806,-0.654,0
10292742,0.5047,0.8045,-0.2419,-0.1989,-7.0775,2.9083,4.0195,0
10293242,0.4835,0.801,-0.1731,-0.3075,-3.4452,2.0013,5.1652,0
10293742,0.4711,0.7778,-0.0712,-0.4099,0.0552,-2.7291,8.3776,0
10294242,0.4602,0.7362,0.0377,-0.4949,1.8668,-1.9986,5.2406,0
10294742,0.4431,0.6884,0.1498,-0.5544,4.0484,-1.8081,3.8158,0
10295242,0.4235,0.6423,0.2439,-0.5904,3.7143,-3.5757,0.5207,0
10295742,0.42,0.6063,0.3026,-0.6036,2.0326,-0.9593,-1.6511,0
10296242,0.4252,0.5912,0.3265,-0.6026,0.8895,1.2663,-0.8653,0
10296742,0.4301,0.5972,0.3248,-0.5941,1.7619,-0.3401,-0.8501,0
10297242,0.4494,0.6152,0.3085,-0.5696,2.2664,-1.7423,1.0653,0
10297742,0.4784,0.6463,0.2566,-0.5362,3.9123,-3.8072,1.9968,0
10298242,0.5166,0.6861,0.1649,-0.485,3.3078,-3.0888,4.7518,0
10298742,0.5511,0.7242,0.0461,-0.4118,0.0378,-0.9484,6.9129,0
10299242,0.5747,0.7496,-0.0745,-0.3198,-3.0657,1.2685,6.7916,0
10299742,0.5927,0.7545,-0.1778,-0.2188,-6.1926,3.2955,4.1906,0
10300242,0.6113,0.7408,-0.2497,-0.1237,-6.3764,4.1918,-0.3079,0
10300742,0.637,0.7104,-0.2961,-0.0431,-4.9965,3.4758,-3.0008,0
10301242,0.6604,0.6738,-0.3306,0.0222,-2.9896,2.3364,-4.1088,0
10301742,0.669,0.6478,-0.3544,0.0852,-1.3056,0.9657,-3.9272,0
10302242,0.6342,0.6833,-0.2392,0.2714,-0.7733,0.2149,-2.8071,0
10302742,0.6296,0.6629,-0.2528,0.3165,1.2719,-2.1569,-4.8533,0
10303242,0.6156,0.6566,-0.2571,0.3518,1.206,-3.8448,-4.291,0
10303742,0.6172,0.6472,-0.2633,0.3618,2.2323,-2.4277,-3.2568,0
10304242,0.6199,0.6464,-0.2653,0.3571,3.1475,-2.0966,-4.2585,0
10304742,0.6123,0.6636,-0.2598,0.3425,0.6853,-1.6863,-2.5879,0
10305242,0.6143,0.6776,-0.2546,0.3139,-0.3443,-0.3069,-2.462,0
10305742,0.6139,0.6967,-0.2403,0.2829,-0.6484,-0.1397,-2.1709,0
10306242,0.6147,0.717,-0.2221,0.2421,-1.2641,-1.0374,-3.1012,0
10306742,0.6208,0.7304,-0.2075,0.1952,-1.3434,-0.7603,-1.9896,0
10307242,0.6231,0.7472,-0.1865,0.1367,-2.2678,0.7835,-2.0918,0
10307742,0.6169,0.7663,-0.1634,0.0752,-3.3865,0.0381,-0.8076,0
10308242,0.6082,0.7824,-0.1337,0.0081,-3.2858,2.8924,-2.373,0
10308742,0.5943,0.7964,-0.0891,-0.068,-3.5717,1.4425,1.1335,0
10309242,0.5779,0.8017,-0.0364,-0.1482,-3.5803,-0.0332,2.7947,0
10309742,0.5678,0.7886,0.0258,-0.2346,-1.8967,-2.0478,4.5815,0
10310243,0.5655,0.7559,0.0939,-0.3163,0.4146,-1.4766,4.7416,0
10310743,0.5669,0.7094,0.1608,-0.3865,0.1282,-0.5713,4.9542,0
10311243,0.5621,0.6567,0.2398,-0.4418,1.0684,1.2786,1.2892,0
10311743,0.5435,0.6091,0.3181,-0.482,2.5111,0.6194,-0.3269,0
10312243,0.5191,0.574,0.378,-0.5081,3.4682,-0.8694,-0.1797,0
10312743,0.5034,0.5502,0.4208,-0.5165,4.7844,-1.9802,-0.9026,0
10313243,0.5127,0.5452,0.4332,-0.5023,2.5426,-0.3062,-0.4482,0
10313743,0.534,0.5611,0.4156,-0.4767,2.7718,0.0326,1.1583,0
10314243,0.5578,0.6009,0.3645,-0.4415,3.9395,-0.0377,2.297,0
10314743,0.5749,0.6627,0.2811,-0.3891,4.1985,-0.3702,3.9404,0
10315243,0.583,0.7287,0.1815,-0.3102,1.5715,-0.7825,6.1647,0
10315743,0.5825,0.7804,0.0861,-0.2101,-3.0604,-0.4717,6.6492,0
