SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
11554835,0.7015,-0.4087,0.4145,0.4111,0.0509,0.0139,0.0775,0
11555335,0.7026,-0.4084,0.4134,0.4107,-0.0134,-0.0171,-0.0463,0
11555835,0.703,-0.4079,0.4133,0.4106,-0.0782,-0.0328,-0.0362,0
11556335,0.7033,-0.4072,0.4136,0.4105,-0.0148,-0.0372,-0.0138,0
11556835,0.7039,-0.4062,0.414,0.41,-0.0426,0.0207,-0.0228,0
11557335,0.7045,-0.4052,0.4143,0.4097,-0.1459,0.0174,-0.0612,0
11557835,0.7048,-0.4043,0.4147,0.4097,-0.0651,-0.0723,-0.1018,0
11558335,0.7048,-0.4039,0.415,0.4096,-0.0296,-0.0501,-0.0262,0
11558835,0.705,-0.4034,0.4153,0.4096,0.0212,-0.1087,-0.006,0
11559335,0.7051,-0.4028,0.4155,0.4098,-0.0084,-0.1227,0.029,0
11559835,0.7053,-0.4021,0.4157,0.41,0.0056,-0.1143,-0.0049,0
11560335,0.7057,-0.4012,0.4162,0.4097,0.0018,-0.0968,-0.0511,0
11560835,0.7055,-0.4009,0.4163,0.4102,0.0277,-0.0646,-0.0169,0
11561335,0.7061,-0.3997,0.4171,0.4096,0.0344,0.0143,-0.0115,0
11561835,0.7059,-0.3996,0.4158,0.4113,-1.5886,0.8098,-0.1579,0
11562335,0.6974,-0.4106,0.4058,0.4247,-3.8181,0.725,-0.8643,0
11562835,0.6769,-0.4343,0.3846,0.453,-1.5199,0.8902,0.3473,0
11563335,0.6494,-0.4711,0.3461,0.4863,4.6794,-1.4928,1.995,0
11563835,0.6437,-0.5198,0.2902,0.4809,11.5133,-1.9217,0.2504,0
11564335,0.6469,-0.6024,0.2131,0.4163,10.9429,-3.7485,1.3724,0
11564835,0.6314,-0.709,0.1268,0.2876,6.2771,-4.6336,9.6682,0
11565335,0.6061,-0.7839,0.0571,0.1224,-5.4293,-0.6953,11.49,0
11565835,0.5772,-0.816,-0.0008,-0.0316,-11.5443,1.1453,4.9412,0
11566335,0.5565,-0.8139,-0.0429,-0.1612,-9.6295,0.2963,-0.5614,0
11566835,0.5531,-0.7853,-0.0737,-0.2683,-6.9498,-0.5174,-3.7719,0
11567335,0.5571,-0.7439,-0.1027,-0.3545,-2.8547,-0.804,-6.2545,0
11567835,0.5485,-0.7103,-0.1176,-0.4252,-0.9524,-0.035,-4.378,0
11568335,0.5534,-0.6701,-0.1315,-0.4769,4.8373,-0.0874,-9.5753,0
11568835,0.535,-0.6669,-0.1247,-0.5034,7.1471,4.854,-6.046,0
11569335,0.4869,-0.7024,-0.0924,-0.5109,2.2522,4.1637,-2.2305,0
11569835,0.4842,-0.7181,-0.0912,-0.4915,4.2042,2.9282,-3.9636,0
11570335,0.4935,-0.7357,-0.0944,-0.4542,1.4009,1.5924,-3.8637,0
11570835,0.5131,-0.7502,-0.0999,-0.4049,-1.6923,0.4784,-2.9836,0
11571335,0.5388,-0.7612,-0.1021,-0.3463,-1.5279,0.5285,-3.0393,0
11571835,0.5508,-0.7798,-0.0974,-0.2811,-3.273,-0.6154,-4.1296,0
11572335,0.5581,-0.8002,-0.0891,-0.2008,-4.156,0.5518,-0.0809,0
11572835,0.5889,-0.7988,-0.0548,-0.1101,-4.6991,-0.4884,1.2663,0
11573335,0.6445,-0.7646,0.0046,-0.0047,-4.8599,-2.1131,0.4903,0
11573835,0.6859,-0.7134,0.0831,0.1169,-7.1965,-2.4025,3.2889,0
11574335,0.6813,-0.6656,0.1617,0.2581,-3.6659,-4.1236,4.5858,0
11574835,0.6382,-0.6299,0.2147,0.3871,3.1817,-4.4827,6.5025,0
11575335,0.5856,-0.6022,0.2505,0.4814,11.1592,1.8962,2.2096,0
11575835,0.5664,-0.5698,0.2855,0.5225,7.8778,1.8119,2.0542,0
11576335,0.5797,-0.54,0.3048,0.5286,2.8624,-0.2382,0.7677,0
11576835,0.5955,-0.523,0.3272,0.5146,0.3394,-3.2377,-0.1337,0
11577335,0.6122,-0.4999,0.3622,0.494,-5.1612,0.2598,1.1143,0
11577835,0.6096,-0.5199,0.3442,0.4895,1.7437,-0.9846,0.0987,0
11578335,0.6104,-0.5371,0.3235,0.484,3.3504,1.8125,0.6225,0
11578835,0.6315,-0.5498,0.2979,0.4584,2.5147,-0.511,1.6426,0
11579335,0.646,-0.5899,0.242,0.4197,6.7585,-2.1422,2.27,0
11579835,0.6655,-0.636,0.1828,0.3453,4.2699,-3.0888,3.2257,0
11580335,0.6718,-0.6898,0.1178,0.243,0.1899,-3.0594,5.8875,0
11580835,0.6601,-0.738,0.055,0.1291,-4.1251,-1.7941,5.0535,0
11581335,0.6344,-0.7729,0.0013,0.0148,-5.6733,-0.692,3.0893,0
11581835,0.6133,-0.7835,-0.0355,-0.093,-6.1109,-0.4876,0.889,0
11582335,0.6054,-0.7717,-0.0606,-0.1851,-5.0012,-0.5455,-2.4525,0
11582835,0.5911,-0.7569,-0.0826,-0.2662,-2.5703,-0.2592,-3.7093,0
11583335,0.5776,-0.7385,-0.096,-0.3343,-1.052,-0.08,-3.7875,0
11583835,0.5711,-0.7153,-0.1047,-0.3889,0.2251,0.2297,-3.4919,0
