SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
13871375,0.6604,0.7159,0.1881,0.1266,-0.0579,-0.0327,0.0325,0
13871875,0.6614,0.7152,0.1883,0.1248,-0.0239,-0.0317,0.0653,0
13872375,0.6619,0.7153,0.1873,0.1232,0.0046,-0.0314,0.1597,0
13872875,0.6613,0.7162,0.1863,0.1222,0.1017,0.165,0.2198,0
13873375,0.6573,0.7207,0.1853,0.1197,0.6052,-0.8232,1.8032,0
13873875,0.656,0.7221,0.1837,0.1202,0.4361,-0.2627,0.9733,0
13874375,0.6448,0.7326,0.18,0.1231,0.8289,-0.8303,1.7237,0
13874875,0.6522,0.7267,0.1644,0.1397,0.5514,-0.9742,2.341,0
13875375,0.6537,0.725,0.1454,0.161,-0.0526,0.0859,0.9563,0
13875875,0.6578,0.7193,0.1224,0.1867,-0.8293,0.3381,0.184,0
13876375,0.6595,0.7147,0.0973,0.2114,-1.1212,0.7864,0.0365,0
13876875,0.66,0.71,0.0708,0.2352,-1.0968,0.595,-0.6752,0
13877375,0.6577,0.7063,0.0459,0.2577,-1.1799,0.3838,-0.5289,0
13877875,0.6581,0.6994,0.0203,0.278,-0.6006,0.2983,-1.7778,0
13878375,0.6566,0.6955,0.0006,0.2919,-0.1603,0.3523,-2.2685,0
13878875,0.6524,0.6972,-0.0078,0.297,-0.117,-0.2277,-1.8429,0
13879375,0.6534,0.6979,-0.0118,0.2931,0.4239,0.2919,-2.1034,0
13879875,0.6518,0.7029,-0.0023,0.2846,-0.0702,0.1362,-1.289,0
13880375,0.6495,0.7102,0.0119,0.2714,-0.3293,0.0638,-0.292,0
13880875,0.6471,0.717,0.0282,0.2576,-0.0484,-0.023,-0.5056,0
13881375,0.6481,0.7209,0.0446,0.2416,-0.2232,-0.2093,0.0588,0
13881875,0.6483,0.7245,0.0627,0.2254,-0.0448,0.1398,-0.4388,0
13882375,0.6444,0.7307,0.0826,0.2098,0.0016,-0.2651,-0.1896,0
13882875,0.6322,0.7426,0.1055,0.1942,-0.1722,0.0231,0.1228,0
13883375,0.6234,0.7514,0.1218,0.179,-0.0567,-0.5785,1.4238,0
13883875,0.6294,0.7476,0.1312,0.1662,-0.2869,-0.012,0.7285,0
13884375,0.6296,0.7482,0.1403,0.1553,-0.1085,-0.1165,0.6155,0
13884875,0.6312,0.7472,0.1474,0.1466,0.0422,-0.0643,0.7957,0
13885375,0.6334,0.7458,0.1518,0.1399,0.2071,-0.1656,0.4568,0
13885875,0.6344,0.745,0.155,0.1355,0.0654,-0.1808,0.9563,0
13886375,0.6356,0.7442,0.1556,0.1338,-0.0003,0.0404,1.0599,0
13886875,0.6364,0.7436,0.153,0.1362,0.341,-0.1082,1.0627,0
13887375,0.6397,0.7408,0.1474,0.1425,0.2802,-0.2488,0.8432,0
13887875,0.6454,0.7357,0.1388,0.1518,0.0006,-0.0969,0.3703,0
13888375,0.6459,0.735,0.1289,0.1613,-0.0317,-0.3505,0.4733,0
13888875,0.6477,0.7328,0.1177,0.1723,-0.2262,-0.1399,0.4279,0
13889375,0.6482,0.7314,0.1052,0.184,-0.2027,-0.1352,0.3029,0
13889875,0.6483,0.7298,0.0923,0.1965,-0.3124,-0.1871,0.3827,0
13890375,0.651,0.7252,0.0777,0.2103,-0.3304,0.0618,-0.025,0
13890875,0.6511,0.7224,0.0629,0.224,-0.3201,-0.0664,0.016,0
13891375,0.6527,0.7178,0.0473,0.2376,-0.3645,-0.0282,-0.1722,0
13891875,0.6511,0.7159,0.033,0.2499,-0.2061,-0.1419,-0.3266,0
13892375,0.6514,0.7122,0.0205,0.261,-0.0834,-0.1276,-0.8409,0
13892875,0.6479,0.7126,0.013,0.2688,-0.0509,-0.1762,-0.819,0
13893375,0.6461,0.7126,0.0091,0.2734,0.1373,-0.2424,-1.031,0
13893875,0.6476,0.7115,0.0083,0.2727,0.2893,-0.1371,-1.5165,0
13894375,0.6463,0.7151,0.0152,0.2658,0.0109,0.0983,-1.0417,0
13894875,0.6437,0.7207,0.0262,0.2562,-0.0962,0.0936,-0.4206,0
13895375,0.6409,0.7262,0.0389,0.2456,-0.0022,-0.426,-0.3451,0
13895875,0.6476,0.7241,0.0498,0.2322,-0.0577,0.0908,-0.7453,0
13896375,0.6505,0.7249,0.0644,0.2173,-0.1184,-0.1193,-0.1078,0
13896875,0.6536,0.7246,0.0811,0.2027,-0.1749,0.3756,-0.3118,0
13897375,0.6486,0.7304,0.1001,0.1891,-0.0881,-0.4772,1.0011,0
13897875,0.6504,0.7297,0.1138,0.1776,-0.1123,-0.2469,0.6258,0
13898375,0.6511,0.7294,0.1259,0.168,-0.1728,-0.2729,0.5829,0
13898875,0.6531,0.7279,0.135,0.1593,-0.1457,-0.1491,0.6749,0
13899375,0.6547,0.7268,0.1417,0.1522,0.0676,-0.2389,0.5508,0
13899875,0.6562,0.7253,0.1467,0.1479,-0.0463,-0.2373,0.708,0
13900375,0.657,0.7248,0.1484,0.1447,0.0662,-0.1985,0.628,0
13900875,0.6559,0.7262,0.1476,0.1435,0.0697,-0.3207,1.1453,0
13901375,0.6573,0.7253,0.1433,0.1461,0.1475,-0.0564,0.5583,0
13901875,0.6571,0.7257,0.1374,0.1509,0.1557,-0.2364,0.7836,0
13902375,0.658,0.7248,0.1289,0.1584,0.1567,-0.0751,0.346,0
13902875,0.6555,0.7264,0.1204,0.1677,0.0948,-0.1815,0.5037,0
13903375,0.6556,0.7251,0.11,0.1797,-0.0611,-0.0476,0.329,0
13903875,0.6543,0.7245,0.099,0.193,-0.2023,-0.1796,0.1514,0
13904375,0.6533,0.7233,0.0867,0.2061,-0.2924,-0.5244,0.4456,0
13904875,0.6542,0.7202,0.0733,0.2192,-0.1899,-0.1422,-0.3287,0
13905375,0.6527,0.7186,0.0615,0.2318,-0.1729,-0.4852,-0.0151,0
13905875,0.6519,0.7165,0.0505,0.2431,-0.3026,0.2325,-0.3914,0
13906375,0.6417,0.7224,0.0446,0.2539,-0.1913,-0.1818,-0.1858,0
13906875,0.6356,0.7247,0.0379,0.2634,0.019,-0.2968,-0.3692,0
13907375,0.6316,0.726,0.0323,0.2703,0.1469,-0.1414,-0.7698,0
13907875,0.6282,0.7276,0.0303,0.2739,0.3885,-0.2709,-1.4134,0
13908375,0.6281,0.7285,0.0327,0.2715,0.2878,-0.3339,-1.4428,0
13908875,0.6256,0.7333,0.0416,0.2629,-0.4143,-0.1889,-0.2924,0
13909375,0.6261,0.7357,0.0501,0.2533,-0.0542,-0.4288,-0.2061,0
13909875,0.6359,0.7307,0.0557,0.2421,-0.2206,-0.6229,0.1775,0
13910375,0.65,0.7215,0.0615,0.2305,-0.2793,0.9979,-0.6479,0
13910875,0.6461,0.727,0.074,0.22,0.1788,-0.8825,0.832,0
13911375,0.6532,0.7227,0.0827,0.2103,0.1367,-0.0133,-0.2549,0
13911875,0.6536,0.7237,0.0925,0.2012,-0.054,0.2078,0.0044,0
13912375,0.6451,0.7322,0.1037,0.1922,0.0341,-0.5748,0.8509,0
13912875,0.6481,0.7304,0.111,0.1851,-0.0706,0.1336,-0.352,0
13913375,0.644,0.7345,0.1208,0.1768,-0.104,-0.3106,0.4103,0
13913875,0.6467,0.7324,0.1286,0.1697,-0.0803,-0.0119,0.0673,0
13914375,0.6462,0.7332,0.1361,0.1625,0.0037,-0.3665,0.4734,0
13914875,0.6479,0.7319,0.1416,0.1566,0.0027,-0.371,0.5105,0
13915376,0.6501,0.7303,0.1452,0.1513,0.0047,-0.0367,0.2174,0
13915876,0.6511,0.7298,0.148,0.1469,0.0426,-0.0567,0.4144,0
13916376,0.649,0.7317,0.1503,0.1444,-0.0275,0.216,0.8425,0
13916876,0.6388,0.7405,0.1503,0.145,0.3848,-0.5256,1.608,0
