SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
7914350,0.9998,-0.0036,-0.0004,-0.0192,-0.0153,-0.006,0.0794,0
7914516,0.9998,-0.0033,-0.0003,-0.0192,-0.0019,-0.0278,0.0726,0
7914683,0.9998,-0.0033,-0.0003,-0.0191,-0.0123,-0.0394,0.1066,0
7914850,0.9998,-0.0033,-0.0003,-0.0191,-0.0066,-0.0241,0.1102,0
7915016,0.9998,-0.0033,-0.0004,-0.0189,-0.0092,-0.0248,0.0674,0
7915183,0.9998,-0.0032,-0.0004,-0.0189,0.0062,-0.0054,0.0985,0
7915350,0.9998,-0.003,-0.0005,-0.0188,-0.0216,-0.0255,0.083,0
7915516,0.9998,-0.0028,-0.0005,-0.0189,-0.0263,-0.0197,0.0728,0
7915683,0.9998,-0.0026,-0.0006,-0.0189,-0.0309,-0.0404,0.0924,0
7915850,0.9998,-0.0024,-0.0006,-0.0188,-0.023,-0.0545,0.105,0
7916016,0.9998,-0.0023,-0.0006,-0.0187,-0.0168,-0.0371,0.0793,0
7916183,0.9998,-0.0021,-0.0007,-0.0187,-0.0185,-0.0359,0.084,0
7916350,0.9998,-0.0019,-0.0007,-0.0186,-0.0224,-0.0494,0.0978,0
7916516,0.9998,-0.0017,-0.0008,-0.0185,-0.0204,-0.0666,0.0913,0
7916683,0.9998,-0.0016,-0.0008,-0.0185,-0.0272,-0.0681,0.0809,0
7916850,0.9998,-0.0014,-0.0009,-0.0185,-0.0138,-0.0823,0.0768,0
7917016,0.9998,-0.0012,-0.0009,-0.0184,-0.0321,-0.0809,0.0801,0
7917183,0.9998,-0.001,-0.001,-0.0184,-0.0289,-0.0745,0.0864,0
7917350,0.9998,-0.0009,-0.001,-0.0183,-0.0249,-0.0603,0.0996,0
7917516,0.9998,-0.0007,-0.0011,-0.0183,-0.0277,-0.0781,0.0962,0
7917683,0.9998,-0.0005,-0.0012,-0.0183,-0.0247,-0.083,0.0992,0
7917850,0.9998,-0.0003,-0.0012,-0.0183,-0.0232,-0.0885,0.0899,0
7918016,0.9998,-0.0001,-0.0013,-0.0183,-0.0357,-0.0967,0.0828,0
7918183,0.9998,0,-0.0014,-0.0183,-0.0378,-0.0897,0.0893,0
7918350,0.9998,0.0002,-0.0014,-0.0183,-0.0449,-0.0836,0.1041,0
7918516,0.9998,0.0004,-0.0015,-0.0182,-0.0327,-0.1005,0.0748,0
7918683,0.9998,0.0006,-0.0016,-0.0183,-0.0219,-0.0934,0.0973,0
7918850,0.9998,0.0008,-0.0016,-0.0182,-0.0428,-0.1126,0.0893,0
7919016,0.9998,0.001,-0.0017,-0.0182,-0.0435,-0.111,0.0878,0
7919183,0.9998,0.0011,-0.0017,-0.0181,-0.0449,-0.1215,0.0961,0
7919350,0.9998,0.0013,-0.0018,-0.0181,-0.0488,-0.1194,0.0871,0
7919516,0.9998,0.0015,-0.0019,-0.018,-0.0358,-0.1121,0.0983,0
7919683,0.9998,0.0017,-0.0019,-0.018,-0.0348,-0.1298,0.0847,0
7919850,0.9998,0.0019,-0.002,-0.018,-0.0277,-0.1226,0.0855,0
7920016,0.9998,0.0021,-0.0021,-0.018,-0.0443,-0.1291,0.0746,0
7920183,0.9998,0.0023,-0.0021,-0.0179,-0.0557,-0.1389,0.0918,0
7920350,0.9998,0.0025,-0.0022,-0.0178,-0.055,-0.1387,0.0891,0
7920516,0.9998,0.0027,-0.0023,-0.0178,-0.058,-0.1522,0.0863,0
7920683,0.9998,0.0029,-0.0023,-0.0178,-0.0468,-0.1446,0.1061,0
7920850,0.9998,0.003,-0.0024,-0.0178,-0.0498,-0.1453,0.0894,0
7921016,0.9998,0.0032,-0.0025,-0.0177,-0.0571,-0.1474,0.0744,0
7921183,0.9998,0.0034,-0.0025,-0.0177,-0.058,-0.1534,0.1097,0
7921350,0.9998,0.0036,-0.0026,-0.0177,-0.0545,-0.1548,0.0928,0
7921516,0.9998,0.0038,-0.0027,-0.0176,-0.0601,-0.1659,0.0827,0
7921683,0.9998,0.004,-0.0027,-0.0176,-0.0693,-0.1457,0.0704,0
7921850,0.9998,0.0042,-0.0028,-0.0175,-0.0538,-0.1743,0.0867,0
7922016,0.9998,0.0044,-0.0029,-0.0175,-0.0567,-0.1763,0.0956,0
7922183,0.9998,0.0046,-0.0029,-0.0175,-0.0669,-0.1922,0.0893,0
7922350,0.9998,0.0048,-0.003,-0.0175,-0.0738,-0.179,0.0824,0
7922516,0.9998,0.005,-0.003,-0.0174,-0.0854,-0.1837,0.0763,0
7922683,0.9998,0.0051,-0.0031,-0.0174,-0.0704,-0.1953,0.0867,0
7922850,0.9998,0.0053,-0.0032,-0.0173,-0.0686,-0.191,0.1095,0
7923016,0.9998,0.0055,-0.0032,-0.0173,-0.0669,-0.2072,0.1007,0
7923183,0.9998,0.0057,-0.0033,-0.0172,-0.0652,-0.1963,0.1011,0
7923350,0.9998,0.0059,-0.0034,-0.0172,-0.069,-0.1989,0.099,0
7923516,0.9998,0.0061,-0.0035,-0.0171,-0.0897,-0.2195,0.099,0
7923683,0.9998,0.0063,-0.0035,-0.0171,-0.0811,-0.2133,0.0816,0
7923850,0.9998,0.0064,-0.0036,-0.0171,-0.0807,-0.209,0.0996,0
7924016,0.9998,0.0066,-0.0037,-0.017,-0.0855,-0.2261,0.0721,0
7924183,0.9998,0.0068,-0.0037,-0.017,-0.0576,-0.2195,0.0998,0
7924350,0.9998,0.007,-0.0038,-0.017,-0.061,-0.2205,0.0931,0
7924516,0.9998,0.0072,-0.0039,-0.0169,-0.0915,-0.2368,0.0957,0
7924683,0.9998,0.0074,-0.0039,-0.0169,-0.0875,-0.2359,0.0914,0
7924850,0.9998,0.0075,-0.004,-0.0168,-0.1023,-0.2393,0.0767,0
7925016,0.9998,0.0077,-0.004,-0.0168,-0.0854,-0.2455,0.0837,0
7925183,0.9998,0.0079,-0.0041,-0.0168,-0.0834,-0.2488,0.1029,0
7925350,0.9998,0.0081,-0.0042,-0.0167,-0.0841,-0.2443,0.0886,0
7925516,0.9998,0.0083,-0.0042,-0.0167,-0.082,-0.2464,0.106,0
7925683,0.9998,0.0084,-0.0043,-0.0166,-0.094,-0.259,0.0932,0
7925850,0.9998,0.0086,-0.0044,-0.0166,-0.092,-0.2663,0.0816,0
7926016,0.9998,0.0088,-0.0044,-0.0165,-0.1103,-0.2616,0.0899,0
7926183,0.9998,0.0089,-0.0045,-0.0165,-0.1057,-0.2659,0.078,0
7926350,0.9998,0.0091,-0.0046,-0.0165,-0.1,-0.28,0.1098,0
7926516,0.9998,0.0093,-0.0046,-0.0165,-0.1006,-0.2678,0.0885,0
7926683,0.9998,0.0094,-0.0047,-0.0164,-0.0881,-0.2787,0.0985,0
7926850,0.9998,0.0096,-0.0047,-0.0164,-0.1042,-0.2666,0.0835,0
7927016,0.9998,0.0098,-0.0048,-0.0164,-0.1112,-0.2796,0.0919,0
7927183,0.9998,0.0099,-0.0049,-0.0163,-0.119,-0.2941,0.0826,0
7927350,0.9998,0.0101,-0.0049,-0.0163,-0.1118,-0.3011,0.0996,0
7927516,0.9998,0.0103,-0.005,-0.0163,-0.1132,-0.3083,0.0693,0
7927683,0.9998,0.0104,-0.005,-0.0163,-0.1104,-0.2872,0.0968,0
7927850,0.9998,0.0106,-0.0051,-0.0162,-0.1072,-0.2944,0.1071,0
7928016,0.9998,0.0107,-0.0051,-0.0162,-0.108,-0.3019,0.0861,0
7928183,0.9998,0.0109,-0.0052,-0.0162,-0.1137,-0.2901,0.095,0
7928350,0.9998,0.011,-0.0052,-0.0161,-0.1203,-0.3071,0.0901,0
7928516,0.9998,0.0112,-0.0053,-0.0161,-0.1163,-0.3092,0.1019,0
7928683,0.9998,0.0113,-0.0053,-0.0161,-0.1116,-0.3123,0.0982,0
7928850,0.9998,0.0115,-0.0054,-0.0161,-0.1035,-0.3312,0.0808,0
7929016,0.9998,0.0117,-0.0055,-0.016,-0.112,-0.3086,0.1035,0
7929183,0.9998,0.0118,-0.0055,-0.016,-0.111,-0.3063,0.0992,0
7929350,0.9998,0.0119,-0.0055,-0.016,-0.1218,-0.3267,0.0612,0
7929516,0.9998,0.0121,-0.0056,-0.0159,-0.1136,-0.3301,0.0732,0
7929683,0.9998,0.0122,-0.0057,-0.0159,-0.1167,-0.3412,0.0786,0
7929850,0.9998,0.0124,-0.0057,-0.0158,-0.1328,-0.3415,0.0997,0
7930017,0.9998,0.0125,-0.0057,-0.0158,-0.1137,-0.329,0.0833,0
7930183,0.9998,0.0126,-0.0058,-0.0158,-0.1206,-0.3244,0.1139,0
