DeviceTag: 2,FirmwareVersion: 2.4.0,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2023-08-10 15:40:40.362,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
18552712,1.0000,0.0013,-0.0012,-0.0013,-0.0091,-0.0129,-0.5380,0
18552879,1.0000,0.0012,-0.0012,-0.0016,-0.0146,-0.0140,-0.5291,0
18553046,1.0000,0.0010,-0.0012,-0.0018,-0.0195,0.0052,-0.5659,0
18553212,1.0000,0.0010,-0.0011,-0.0016,-0.0085,-0.0115,-0.5306,0
18553379,1.0000,0.0010,-0.0010,-0.0013,-0.0130,-0.0032,-0.5563,0
18553546,1.0000,0.0010,-0.0010,-0.0013,-0.0159,-0.0093,-0.5536,0
18553712,1.0000,0.0009,-0.0011,-0.0012,-0.0093,-0.0142,-0.5512,0
18553879,1.0000,0.0009,-0.0011,-0.0008,-0.0080,-0.0134,-0.5374,0
18554046,1.0000,0.0009,-0.0012,-0.0007,-0.0176,0.0012,-0.5448,0
18554212,1.0000,0.0008,-0.0012,-0.0005,-0.0173,0.0074,-0.5386,0
18554379,1.0000,0.0008,-0.0013,-0.0004,-0.0194,0.0075,-0.5568,0
18554546,1.0000,0.0009,-0.0013,-0.0003,-0.0110,-0.0142,-0.5551,0
18554712,1.0000,0.0009,-0.0014,-0.0001,-0.0262,0.0097,-0.5554,0
18554879,1.0000,0.0009,-0.0015,-0.0001,-0.0273,-0.0155,-0.5415,0
18555046,1.0000,0.0009,-0.0015,0.0000,-0.0233,-0.0053,-0.5529,0
18555212,1.0000,0.0009,-0.0016,-0.0001,-0.0101,0.0118,-0.5478,0
18555379,1.0000,0.0009,-0.0017,-0.0000,-0.0274,0.0006,-0.5584,0
18555546,1.0000,0.0009,-0.0017,-0.0002,-0.0304,0.0052,-0.5602,0
18555712,1.0000,0.0009,-0.0018,-0.0001,-0.0384,-0.0034,-0.5789,0
18555879,1.0000,0.0010,-0.0019,-0.0003,-0.0245,-0.0108,-0.5479,0
18556046,1.0000,0.0010,-0.0020,-0.0003,-0.0356,-0.0033,-0.5499,0
18556212,1.0000,0.0010,-0.0021,-0.0002,-0.0309,-0.0171,-0.5444,0
