DeviceTag: 5,FirmwareVersion: 2.4.0,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2023-08-10 15:40:58.082,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10447820,0.9999,-0.0073,0.0075,0.0074,-0.0302,0.0010,0.1633,0
10447987,0.9999,-0.0071,0.0077,0.0072,-0.0243,-0.0095,0.1600,0
10448154,0.9999,-0.0071,0.0080,0.0068,-0.0222,-0.0124,0.1711,0
10448320,0.9999,-0.0070,0.0082,0.0066,-0.0042,-0.0108,0.1674,0
10448487,0.9999,-0.0070,0.0083,0.0064,0.0048,-0.0011,0.1573,0
10448654,0.9999,-0.0069,0.0082,0.0064,0.0191,0.0081,0.1947,0
10448820,0.9999,-0.0067,0.0082,0.0063,0.0152,-0.0220,0.1848,0
10448987,0.9999,-0.0066,0.0081,0.0062,-0.0093,-0.0175,0.1708,0
10449154,0.9999,-0.0065,0.0080,0.0062,-0.0322,-0.0382,0.1512,0
10449320,0.9999,-0.0064,0.0079,0.0060,-0.0299,-0.0352,0.1563,0
10449487,0.9999,-0.0064,0.0079,0.0059,-0.0128,-0.0214,0.1591,0
10449654,0.9999,-0.0063,0.0079,0.0059,0.0035,-0.0139,0.1867,0
10449820,0.9999,-0.0062,0.0079,0.0058,0.0081,-0.0089,0.1615,0
10449987,0.9999,-0.0061,0.0078,0.0058,0.0030,-0.0212,0.1685,0
10450154,0.9999,-0.0060,0.0078,0.0058,-0.0171,-0.0300,0.1445,0
10450320,0.9999,-0.0058,0.0077,0.0059,-0.0134,-0.0358,0.1673,0
10450487,0.9999,-0.0057,0.0077,0.0059,-0.0185,-0.0395,0.1453,0
10450654,0.9999,-0.0056,0.0076,0.0059,-0.0040,-0.0402,0.1560,0
10450820,0.9999,-0.0055,0.0076,0.0060,-0.0111,-0.0366,0.1766,0
10450987,0.9999,-0.0054,0.0075,0.0060,-0.0065,-0.0369,0.1871,0
10451154,0.9999,-0.0053,0.0075,0.0060,-0.0087,-0.0372,0.1565,0
10451320,0.9999,-0.0052,0.0074,0.0060,-0.0114,-0.0521,0.1652,0
10451487,0.9999,-0.0051,0.0074,0.0060,-0.0335,-0.0607,0.1607,0
10451654,0.9999,-0.0050,0.0073,0.0060,-0.0285,-0.0490,0.1485,0
10451820,0.9999,-0.0049,0.0073,0.0060,-0.0220,-0.0414,0.1500,0
10451987,0.9999,-0.0048,0.0072,0.0061,-0.0113,-0.0454,0.1868,0
10452154,0.9999,-0.0047,0.0072,0.0061,-0.0183,-0.0266,0.1842,0
10452320,0.9999,-0.0046,0.0071,0.0061,-0.0116,-0.0573,0.1686,0
10452487,0.9999,-0.0045,0.0071,0.0061,-0.0234,-0.0597,0.1790,0
10452654,0.9999,-0.0043,0.0070,0.0061,-0.0301,-0.0735,0.1651,0
10452820,0.9999,-0.0042,0.0070,0.0061,-0.0348,-0.0660,0.1463,0
10452987,0.9999,-0.0041,0.0070,0.0061,-0.0497,-0.0653,0.1578,0
10453154,0.9999,-0.0040,0.0069,0.0062,-0.0208,-0.0541,0.1567,0
10453320,0.9999,-0.0039,0.0069,0.0062,-0.0167,-0.0612,0.1856,0
10453487,1.0000,-0.0038,0.0068,0.0062,-0.0162,-0.0900,0.1782,0
10453654,1.0000,-0.0037,0.0068,0.0063,-0.0176,-0.0880,0.1592,0
10453820,1.0000,-0.0036,0.0068,0.0063,-0.0421,-0.0899,0.1659,0
10453987,1.0000,-0.0035,0.0067,0.0063,-0.0440,-0.0945,0.1742,0
10454154,1.0000,-0.0033,0.0067,0.0063,-0.0368,-0.1041,0.1626,0
10454320,1.0000,-0.0032,0.0066,0.0062,-0.0425,-0.0709,0.1978,0
10454487,1.0000,-0.0031,0.0065,0.0063,-0.0199,-0.0740,0.1944,0
10454654,1.0000,-0.0030,0.0065,0.0063,-0.0159,-0.0932,0.1830,0
