SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
7916313,0.9979,-0.003,0.0044,0.0648,-0.0036,0.0056,-0.0023,0
7916480,0.9979,-0.003,0.0047,0.0647,0.0191,-0.0131,0.0229,0
7916647,0.9979,-0.003,0.0048,0.0644,0.0152,-0.0152,0.0114,0
7916813,0.9979,-0.0031,0.005,0.0644,0.0104,-0.0128,-0.0118,0
7916980,0.9979,-0.0032,0.0051,0.0643,0.0081,0.0006,-0.0038,0
7917147,0.9979,-0.0032,0.0053,0.0643,0.0241,0.0006,-0.0155,0
7917313,0.9979,-0.0032,0.0055,0.0641,0.0203,0.0008,-0.0065,0
7917480,0.9979,-0.0032,0.0057,0.0641,0.0244,0.0028,-0.001,0
7917647,0.9979,-0.0031,0.0059,0.0641,0.0275,0.0058,-0.0135,0
7917813,0.9979,-0.0031,0.006,0.0639,0.0312,-0.0118,-0.006,0
7917980,0.9979,-0.0031,0.0062,0.0638,0.0238,-0.0031,0,0
7918147,0.9979,-0.0031,0.0064,0.0638,0.0452,-0.006,-0.0053,0
7918313,0.9979,-0.003,0.0066,0.0637,0.0445,0.0078,0.0149,0
7918480,0.9979,-0.003,0.0067,0.0637,0.0355,-0.0024,0.0055,0
7918647,0.9979,-0.003,0.0069,0.0637,0.0553,-0.0134,0.0148,0
7918813,0.9979,-0.003,0.0071,0.0636,0.0639,0.0027,-0.0215,0
7918980,0.9979,-0.003,0.0073,0.0635,0.0486,-0.0024,0.0068,0
7919147,0.9979,-0.0029,0.0075,0.0636,0.061,-0.0171,-0.0093,0
7919313,0.9979,-0.0029,0.0076,0.0635,0.0729,-0.0125,-0.0031,0
7919480,0.9979,-0.0029,0.0078,0.0635,0.075,-0.0035,0.0021,0
7919647,0.998,-0.0029,0.008,0.0634,0.0785,0.0029,0.0058,0
7919813,0.998,-0.0028,0.0082,0.0633,0.0692,-0.0058,0.0098,0
7919980,0.998,-0.0028,0.0084,0.0632,0.0813,-0.0188,-0.0146,0
7920147,0.998,-0.0028,0.0085,0.0631,0.0839,-0.0161,-0.0085,0
7920313,0.998,-0.0028,0.0087,0.063,0.0825,-0.0087,0.0108,0
7920480,0.998,-0.0027,0.0089,0.0629,0.0937,-0.0166,0.007,0
7920647,0.998,-0.0027,0.0091,0.0628,0.1028,0.0058,0.0183,0
7920813,0.998,-0.0027,0.0093,0.0627,0.1043,-0.017,0.0158,0
7920980,0.998,-0.0027,0.0094,0.0627,0.1045,-0.0164,-0.0049,0
7921147,0.998,-0.0026,0.0096,0.0626,0.1102,-0.0077,-0.0238,0
7921313,0.998,-0.0026,0.0098,0.0625,0.106,-0.0083,0.0006,0
7921480,0.998,-0.0026,0.01,0.0625,0.1045,-0.0088,-0.0249,0
7921647,0.998,-0.0026,0.0101,0.0624,0.1202,-0.0135,-0.0094,0
7921813,0.998,-0.0026,0.0103,0.0624,0.1187,-0.0181,-0.0097,0
7921980,0.998,-0.0025,0.0105,0.0623,0.129,-0.0117,-0.0103,0
7922147,0.998,-0.0025,0.0107,0.0623,0.1164,-0.0086,-0.0018,0
7922313,0.998,-0.0025,0.0108,0.0622,0.1236,-0.0038,-0.0006,0
7922480,0.998,-0.0025,0.011,0.0621,0.1278,-0.0116,-0.0135,0
7922647,0.998,-0.0025,0.0112,0.0621,0.1287,-0.0035,-0.0198,0
7922813,0.998,-0.0024,0.0114,0.062,0.1367,-0.0053,-0.0025,0
7922980,0.998,-0.0024,0.0115,0.062,0.1371,-0.0139,-0.0193,0
7923147,0.998,-0.0024,0.0117,0.0619,0.1385,-0.0125,-0.0076,0
7923313,0.998,-0.0024,0.0119,0.0619,0.165,-0.0083,0.0107,0
7923480,0.998,-0.0024,0.0121,0.0618,0.1504,-0.0046,-0.0011,0
7923647,0.998,-0.0023,0.0123,0.0618,0.1718,-0.0072,-0.0006,0
7923813,0.998,-0.0023,0.0125,0.0617,0.1549,0.001,0.0103,0
7923980,0.998,-0.0023,0.0126,0.0617,0.1527,-0.0094,0.0134,0
7924147,0.998,-0.0022,0.0128,0.0616,0.1558,-0.0104,-0.0087,0
7924313,0.998,-0.0022,0.013,0.0615,0.1765,-0.0158,-0.0117,0
7924480,0.998,-0.0022,0.0132,0.0615,0.1796,-0.0197,-0.0128,0
7924647,0.998,-0.0022,0.0133,0.0614,0.1775,-0.0181,0.0041,0
7924813,0.998,-0.0021,0.0135,0.0614,0.1714,0.0002,-0.0082,0
7924980,0.998,-0.0021,0.0136,0.0614,0.1853,-0.0074,0.0101,0
7925147,0.998,-0.0021,0.0138,0.0613,0.1837,-0.0191,0.0059,0
7925313,0.998,-0.0021,0.014,0.0613,0.1834,-0.0133,-0.0086,0
7925480,0.998,-0.002,0.0141,0.0612,0.2052,-0.0167,0.0192,0
7925647,0.998,-0.002,0.0143,0.0612,0.1908,0.0026,-0.0131,0
7925813,0.998,-0.002,0.0145,0.0611,0.1936,-0.0123,-0.0015,0
7925980,0.998,-0.002,0.0146,0.0611,0.2072,-0.0141,0.0146,0
7926147,0.998,-0.0019,0.0148,0.0611,0.1934,-0.0172,-0.0038,0
7926313,0.998,-0.0019,0.015,0.061,0.2181,0.0018,-0.0078,0
7926480,0.998,-0.0019,0.0151,0.061,0.219,-0.012,-0.0087,0
7926647,0.998,-0.0019,0.0153,0.0609,0.2238,-0.0266,-0.0308,0
7926813,0.998,-0.0019,0.0155,0.0609,0.2112,-0.0142,-0.0056,0
7926980,0.998,-0.0018,0.0156,0.0609,0.2209,-0.0084,-0.0222,0
7927147,0.998,-0.0018,0.0158,0.0608,0.2263,-0.0113,-0.0135,0
7927313,0.998,-0.0018,0.0159,0.0608,0.2264,-0.0247,-0.0007,0
