SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
11951145,0.9989,-0.0099,0.0025,0.0461,0.0188,-0.0002,-0.1168,0
11951311,0.9989,-0.0096,0.0025,0.0459,0.021,-0.0047,-0.1085,0
11951478,0.9989,-0.0093,0.0024,0.046,0.0185,-0.0164,-0.1009,0
11951645,0.9989,-0.0091,0.0023,0.0456,0.0128,-0.0137,-0.1176,0
11951811,0.9989,-0.0089,0.0022,0.0453,0.0115,-0.0073,-0.0963,0
11951978,0.9989,-0.0086,0.0022,0.0452,-0.0058,-0.0308,-0.1345,0
11952145,0.9989,-0.0084,0.0023,0.0453,0.0053,-0.0295,-0.1095,0
11952311,0.9989,-0.0082,0.0024,0.0452,0.0173,-0.0204,-0.1201,0
11952478,0.9989,-0.0079,0.0025,0.0451,0.0115,-0.0378,-0.108,0
11952645,0.9989,-0.0077,0.0025,0.0452,0.0205,-0.0364,-0.1323,0
11952811,0.9989,-0.0074,0.0026,0.0452,0.0161,-0.0525,-0.116,0
11952978,0.9989,-0.0072,0.0027,0.0452,0.0107,-0.0424,-0.0858,0
11953145,0.999,-0.007,0.0028,0.045,0.0097,-0.0559,-0.1132,0
11953311,0.999,-0.0067,0.0029,0.0451,0.0397,-0.0557,-0.0998,0
11953478,0.999,-0.0065,0.003,0.045,0.0232,-0.0523,-0.1109,0
11953645,0.999,-0.0062,0.003,0.0448,0.0291,-0.0615,-0.0976,0
11953811,0.999,-0.006,0.0031,0.0446,0.0108,-0.0567,-0.0766,0
11953978,0.999,-0.0057,0.0032,0.0445,0.0305,-0.0678,-0.0903,0
11954145,0.999,-0.0055,0.0033,0.0444,0.0321,-0.0704,-0.084,0
11954311,0.999,-0.0052,0.0034,0.0443,0.0455,-0.0799,-0.0876,0
11954478,0.999,-0.005,0.0034,0.0441,0.0372,-0.0824,-0.115,0
11954645,0.999,-0.0047,0.0035,0.044,0.0275,-0.0919,-0.1157,0
11954811,0.999,-0.0045,0.0036,0.0438,0.0329,-0.0967,-0.0913,0
11954978,0.999,-0.0042,0.0037,0.0437,0.049,-0.108,-0.1134,0
11955145,0.999,-0.004,0.0037,0.0436,0.0321,-0.1108,-0.1094,0
11955311,0.999,-0.0037,0.0038,0.0435,0.0368,-0.1138,-0.1143,0
