SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
18662076,0.9996,-0.0039,-0.0024,-0.0269,0.0164,0.0006,0.1506,0
18662242,0.9996,-0.0039,-0.0026,-0.0267,0.0347,-0.0046,0.1789,0
18662409,0.9996,-0.0039,-0.003,-0.0269,0.0259,-0.0086,0.1755,0
18662576,0.9996,-0.004,-0.0034,-0.0267,0.0206,-0.0168,0.1643,0
18662742,0.9996,-0.0041,-0.0037,-0.0267,-0.0057,-0.0032,0.1782,0
18662909,0.9996,-0.0041,-0.0038,-0.0266,-0.0104,-0.0023,0.1521,0
18663076,0.9996,-0.0041,-0.0039,-0.0262,-0.018,-0.0117,0.1544,0
18663242,0.9996,-0.0042,-0.0039,-0.0259,-0.0086,-0.0132,0.1435,0
18663409,0.9997,-0.0042,-0.004,-0.0258,-0.0046,-0.011,0.1654,0
18663576,0.9997,-0.0042,-0.004,-0.0254,0.0034,-0.0024,0.1876,0
18663742,0.9997,-0.0042,-0.004,-0.0254,0.0056,0.0063,0.1745,0
18663909,0.9997,-0.0042,-0.0041,-0.0255,-0.0019,-0.0109,0.1764,0
18664076,0.9997,-0.0042,-0.0041,-0.0253,-0.0092,0.0009,0.1537,0
18664242,0.9997,-0.0042,-0.0042,-0.0251,-0.0104,-0.003,0.1611,0
18664409,0.9997,-0.0042,-0.0042,-0.025,0.0025,-0.0007,0.1757,0
18664576,0.9997,-0.0042,-0.0043,-0.0251,0.0091,0.0064,0.1737,0
18664742,0.9997,-0.0042,-0.0043,-0.0251,-0.0013,0.0078,0.1666,0
18664909,0.9997,-0.0042,-0.0043,-0.0251,-0.0129,-0.0014,0.1748,0
18665076,0.9997,-0.0042,-0.0044,-0.0251,-0.0017,-0.0021,0.1643,0
18665242,0.9997,-0.0042,-0.0044,-0.025,-0.0141,-0.0036,0.1481,0
18665409,0.9997,-0.0041,-0.0045,-0.025,-0.0085,-0.0216,0.1658,0
18665576,0.9997,-0.0041,-0.0045,-0.0249,-0.0135,-0.0083,0.1688,0
18665742,0.9997,-0.0041,-0.0046,-0.0249,-0.0041,-0.0163,0.1756,0
18665909,0.9997,-0.0041,-0.0046,-0.0253,-0.0148,-0.0038,0.1704,0
18666076,0.9997,-0.0041,-0.0046,-0.0253,-0.0211,-0.0041,0.1672,0
18666242,0.9997,-0.0041,-0.0047,-0.0253,-0.0255,-0.0122,0.1598,0
