SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
21256939,0.1488,-0.2442,-0.7285,0.6225,0.3669,0.5734,2.3008,0
21257439,0.1991,-0.1496,-0.7906,0.5594,0.0394,-0.7975,2.6048,0
21257939,0.2489,-0.0715,-0.8185,0.5128,0.5812,-2.4037,3.9485,0
21258439,0.2954,-0.0118,-0.817,0.4951,3.1337,-2.2477,4.7706,0
21258939,0.3585,0.0439,-0.7815,0.5088,4.6581,-0.7317,0.0582,0
21259439,0.4141,0.0875,-0.7343,0.5307,2.391,1.757,-4.6513,0
21259939,0.4553,0.1149,-0.7096,0.5253,-1.3146,1.9591,-6.0991,0
21260439,0.4882,0.1216,-0.7154,0.4849,-1.899,1.436,-3.3669,0
21260939,0.5272,0.1141,-0.7317,0.4168,0.4793,-0.1316,-0.4781,0
21261440,0.5588,0.0995,-0.746,0.3483,-8.1082,-3.1903,-6.7443,0
21261940,0.5699,0.0803,-0.7596,0.3029,-8.3233,-2.3542,-5.2913,0
21262440,0.572,0.0918,-0.7428,0.3356,-4.3644,0.1026,-4.4754,0
21262940,0.5639,0.0973,-0.738,0.3576,-3.1468,0.1414,-2.4423,0
21263440,0.5451,0.0929,-0.7487,0.3657,-6.9447,-1.9526,-6.2765,0
21263940,0.514,0.0898,-0.7649,0.3778,-0.5173,-0.8317,0.6057,0
21264440,0.4871,0.1067,-0.7504,0.4339,0.5391,-1.107,-2.1027,0
21264940,0.4563,0.1154,-0.741,0.4789,-1.1044,-0.1252,-2.5192,0
21265440,0.4246,0.109,-0.7481,0.4982,-0.1731,0.5915,-0.1535,0
21265940,0.3879,0.0985,-0.7517,0.5242,2.1507,0.6787,1.5274,0
21266440,0.3564,0.0705,-0.7362,0.571,0.1173,1.4801,-1.7752,0
21266940,0.3231,0.014,-0.7217,0.6121,0.8264,2.0463,-1.4528,0
21267440,0.2718,-0.0622,-0.6974,0.6602,0.8618,1.425,-0.1376,0
21267940,0.203,-0.1504,-0.6774,0.6909,3.303,-0.0271,-2.1888,0
21268440,0.1236,-0.2328,-0.6692,0.6947,3.4769,-0.4917,0.831,0
21268940,0.0347,-0.3099,-0.6621,0.6815,1.611,0.5779,3.9296,0
21269440,-0.059,-0.3703,-0.6519,0.6591,-3.2254,1.4209,5.7297,0
21269940,-0.1307,-0.4172,-0.6314,0.6405,-10.569,0.471,5.7363,0
21270440,-0.1417,-0.4392,-0.6145,0.6398,-10.6691,1.6401,4.2828,0
21270940,-0.1198,-0.4377,-0.6119,0.6478,-1.7435,1.4414,0.7678,0
21271440,-0.0932,-0.4319,-0.6123,0.6556,1.1697,0.2292,-0.5145,0
21271940,-0.0744,-0.4221,-0.6185,0.6586,0.3439,-0.636,-0.9186,0
21272440,-0.0588,-0.4031,-0.6325,0.6588,-3.7621,0.8691,0.4954,0
21272940,-0.0255,-0.3661,-0.6601,0.6554,-5.8328,2.8909,4.0986,0
21273440,0.0327,-0.2962,-0.7062,0.6422,-4.221,2.1217,6.2615,0
21273940,0.1138,-0.2074,-0.7546,0.6121,-0.4119,0.102,6.8804,0
21274440,0.2039,-0.1088,-0.7885,0.57,3.0212,-1.03,4.9445,0
21274940,0.2928,-0.0182,-0.8009,0.5221,5.5891,-1.6972,2.2364,0
21275440,0.3778,0.0619,-0.786,0.4854,5.675,-2.0895,-0.5531,0
21275940,0.45,0.1343,-0.7472,0.4703,4.4451,-0.3356,-5.1389,0
