SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
21253773,0.8933,0.1052,0.4252,0.101,0.0136,0.0728,-0.0811,0
21253940,0.8932,0.1062,0.4251,0.1013,-0.0209,0.0346,-0.0741,0
21254440,0.8928,0.1078,0.4255,0.1016,-0.0191,-0.0657,-0.1076,0
21254940,0.8931,0.1068,0.4251,0.1017,-0.7721,0.0766,-0.0758,0
21255440,0.8966,0.1038,0.4184,0.102,1.125,1.4843,2.2764,0
21255940,0.9111,0.0895,0.3847,0.1183,-0.0922,-1.985,1.1311,0
21256440,0.929,0.0868,0.336,0.1287,-0.5927,1.748,3.209,0
21256940,0.9487,0.0461,0.2751,0.1489,-1.4017,0.7641,0.886,0
21257440,0.9648,-0.0078,0.2099,0.158,-1.1637,-0.5795,-0.1141,0
21257940,0.9781,-0.046,0.138,0.1488,-1.0377,-1.3177,-0.7559,0
21258440,0.9882,-0.06,0.0549,0.1296,-1.8999,-1.7815,0.0873,0
21258940,0.9919,-0.0491,-0.0486,0.1063,-1.2272,-1.2986,-1.5682,0
21259440,0.9848,-0.0425,-0.1447,0.0857,0.1453,-0.1119,-1.5427,0
21259940,0.9723,-0.045,-0.2226,0.0555,2.5535,-0.4612,-1.3445,0
21260440,0.9586,-0.0537,-0.2788,0.0195,2.1231,-0.581,-1.4532,0
21260940,0.9436,-0.0673,-0.3233,-0.024,0.4121,0.0313,-1.315,0
21261440,0.9236,-0.0853,-0.3664,-0.0744,2.3664,1.1184,-0.3728,0
21261940,0.9111,-0.1033,-0.3859,-0.1012,4.228,-0.013,-0.7588,0
21262440,0.9139,-0.0995,-0.3819,-0.0955,1.5346,-0.8223,-1.399,0
21262940,0.9217,-0.09,-0.368,-0.0831,1.1588,0.3462,-0.8487,0
21263440,0.9308,-0.0872,-0.3476,-0.0726,2.2317,0.843,-0.7253,0
21263940,0.9461,-0.0938,-0.3069,-0.0451,1.7211,-1.5848,-0.076,0
21264440,0.9599,-0.0864,-0.2666,-0.013,0.4919,-0.7462,-0.7743,0
21264940,0.972,-0.0765,-0.2211,0.0238,0.3339,0.4104,-0.9677,0
21265440,0.9804,-0.0805,-0.1692,0.0607,1.8102,-1.0305,-0.2637,0
21265940,0.9861,-0.0736,-0.1145,0.0949,-0.5916,-0.0377,-1.1831,0
21266440,0.9891,-0.0525,-0.0602,0.124,-0.039,-0.7735,-1.3786,0
21266940,0.9891,-0.0216,0.0019,0.1455,0.6728,0.2699,-1.2207,0
21267440,0.9851,0.0065,0.0718,0.1562,-1.3744,-0.8213,0.4258,0
21267940,0.9758,0.0225,0.1482,0.1593,0.7916,0.0812,-1.7999,0
21268440,0.9575,0.0423,0.236,0.1602,0.4327,-0.9173,-3.1916,0
21268940,0.9289,0.0573,0.3329,0.1521,-2.9513,0.3605,2.3136,0
21269440,0.9016,0.0534,0.4025,0.1494,-0.1539,-0.0334,2.7787,0
21269940,0.8786,0.055,0.4516,0.1452,-0.8288,-0.637,1.7758,0
21270440,0.8655,0.0584,0.4766,0.1426,-0.4029,2.3636,3.7943,0
