SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
21255480,0.5845,0.5502,-0.2617,-0.5358,-0.6584,0.0818,2.9164,0
21255980,0.4974,0.6014,-0.3394,-0.5251,2.5998,-8.8285,19.2701,0
21256480,0.5295,0.5292,-0.3498,-0.5631,0.2855,2.168,2.8877,0
21256980,0.5056,0.5048,-0.3217,-0.6213,1.5007,0.8858,1.7602,0
21257480,0.5018,0.4748,-0.2541,-0.6769,3.1113,4.0722,-1.4726,0
21257980,0.5084,0.4302,-0.1571,-0.7292,2.3304,2.7129,-1.3047,0
21258480,0.5535,0.3391,-0.0147,-0.7605,-2.0108,6.4099,0.9121,0
21258980,0.5968,0.2986,0.0558,-0.7427,-0.1131,1.322,0.2553,0
21259480,0.6636,0.2492,0.1555,-0.688,-0.3018,0.7962,-2.557,0
21259980,0.7146,0.2437,0.2276,-0.615,1.1372,-2.6835,-5.5305,0
21260480,0.7431,0.248,0.3064,-0.5407,-1.8735,-1.9975,-5.1704,0
21260980,0.759,0.2934,0.3574,-0.4583,-5.2817,-0.894,-6.6169,0
21261480,0.7145,0.4813,0.2938,-0.4141,0.2236,2.9223,-9.1425,0
21261980,0.692,0.546,0.282,-0.3788,-2.1719,1.8314,-0.7765,0
21262480,0.7199,0.5151,0.2892,-0.3644,-1.701,-0.6951,-2.4804,0
21262980,0.7407,0.4761,0.3053,-0.3627,-2.0524,-0.4703,-2.3262,0
21263480,0.71,0.5043,0.288,-0.3982,-1.1472,1.0389,-2.7192,0
21263980,0.6745,0.5034,0.2724,-0.4662,1.5415,2.6605,-3.0445,0
21264480,0.6469,0.4858,0.2381,-0.5374,5.5367,0.4402,-4.1732,0
21264980,0.6977,0.3192,0.321,-0.5552,-3.9796,2.1782,-4.5397,0
21265480,0.6398,0.3458,0.2334,-0.6454,1.6214,1.1061,-2.8521,0
21265980,0.6225,0.2844,0.1892,-0.7041,0.057,0.331,-2.9934,0
21266480,0.6392,0.1546,0.2154,-0.7219,-4.856,-0.034,-1.7082,0
21266980,0.6165,0.1724,0.1336,-0.7565,-3.4996,1.2042,-0.3692,0
21267480,0.6069,0.2257,0.0346,-0.7613,-2.4122,-0.3521,-0.549,0
21267980,0.5454,0.4155,-0.1575,-0.7107,4.2685,-1.1388,-0.3226,0
21268480,0.519,0.5033,-0.2065,-0.6593,3.0215,-0.1717,0.2231,0
21268980,0.4982,0.589,-0.2278,-0.5941,0.8187,-0.7547,1.3758,0
21269480,0.484,0.6695,-0.245,-0.5074,0.0362,-0.5527,3.464,0
21269980,0.483,0.7238,-0.2562,-0.4209,-1.397,-0.2463,5.7883,0
21270480,0.4791,0.745,-0.2815,-0.3691,-6.2214,-3.8024,30.4799,0
21270980,0.6327,0.5674,-0.2124,-0.4824,-4.4156,2.4599,-11.5574,0
21271480,0.4751,0.7236,-0.3046,-0.3974,-2.75,-3.4496,11.7052,0
21271980,0.5271,0.6758,-0.2671,-0.4405,1.1681,0.2306,-3.6792,0
21272480,0.5136,0.6866,-0.266,-0.4404,-1.5055,-0.8136,4.2596,0
21272980,0.4907,0.6928,-0.2549,-0.4628,-3.6023,-1.4564,10.3651,0
21273480,0.4868,0.6634,-0.2024,-0.5309,-1.0248,-1.8449,8.8275,0
21273980,0.4841,0.6158,-0.1305,-0.6078,3.9927,-1.4556,5.6155,0
21274480,0.4953,0.5359,-0.0325,-0.6829,6.1861,0.4769,0.7651,0
21274980,0.5223,0.4247,0.0955,-0.7333,3.5905,2.0233,-2.1925,0
21275480,0.5471,0.3241,0.211,-0.7424,2.1013,1.6458,-3.2788,0
21275980,0.5913,0.2112,0.331,-0.7044,-1.0301,0.8992,-4.2501,0
21276480,0.6146,0.1755,0.3898,-0.663,-0.5208,1.0345,-4.6917,0
21276980,0.6321,0.1544,0.4414,-0.6179,-2.2551,0.5079,-3.9683,0
21277480,0.6368,0.1652,0.4772,-0.5826,-2.5485,0.0178,-2.7176,0
21277980,0.6387,0.2003,0.5015,-0.548,-3.3304,-0.1241,-4.0792,0
21278480,0.6384,0.2509,0.512,-0.5171,-5.1487,0.4854,-2.9618,0
21278980,0.659,0.2986,0.4943,-0.4819,-5.1082,0.0181,-4.2679,0
21279480,0.6855,0.3446,0.4609,-0.446,-4.4949,-0.4089,-2.9615,0
21279980,0.7229,0.3633,0.4317,-0.3989,-3.6949,-2.6262,-1.303,0
21280480,0.7425,0.4079,0.391,-0.3597,0.299,-2.1842,-1.2692,0
21280980,0.7069,0.5091,0.3393,-0.3549,3.1948,0.6217,2.4215,0
21281480,0.7144,0.5053,0.3456,-0.3389,1.6692,0.7352,1.9596,0
21281980,0.714,0.505,0.3504,-0.3354,0.8658,0.6332,0.7784,0
21282480,0.7113,0.5003,0.3577,-0.3402,-0.2381,0.2659,0.2852,0
21282980,0.7006,0.4886,0.3661,-0.3694,0.405,0.3489,-1.3489,0
21283480,0.7028,0.4251,0.3934,-0.413,-1.5337,0.3074,-5.152,0
21283980,0.6471,0.4161,0.362,-0.5264,2.8882,0.1163,-8.1343,0
21284480,0.6523,0.2843,0.3962,-0.5803,-0.4026,-0.7729,-9.3667,0
21284980,0.6276,0.1646,0.4205,-0.6342,-5.4222,-0.6258,-7.4725,0
21285480,0.5854,0.1384,0.3758,-0.7049,-2.8651,-0.9857,-2.2311,0
21285980,0.5672,0.1343,0.328,-0.7434,-5.7924,3.8272,2.7195,0
21286480,0.5563,0.2385,0.1879,-0.7735,-0.8428,-1.0793,0.5375,0
21286980,0.5338,0.4042,0.0182,-0.7426,0.7986,-1.2589,-1.8144,0
21287480,0.4976,0.5557,-0.1237,-0.6545,3.0887,-2.4182,7.644,0
21287980,0.5247,0.591,-0.1786,-0.5861,1.1994,-0.8486,3.1604,0
21288480,0.5388,0.626,-0.2409,-0.5097,1.043,-0.7192,2.7842,0
21288980,0.5291,0.6607,-0.2948,-0.4435,2.262,-4.3382,9.3961,0
21289480,0.5656,0.6419,-0.2684,-0.4428,-4.2106,-3.8985,10.9441,0
21289981,0.6105,0.5904,-0.2355,-0.4725,-0.4466,0.8621,-6.9094,0
21290481,0.5595,0.6541,-0.2645,-0.4348,1.192,-1.4033,3.4713,0
