SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
21248323,0.6124,-0.5604,0.421,-0.3656,0.0757,-0.0273,-0.0887,0
21248490,0.6128,-0.5602,0.4203,-0.3661,0.0412,-0.0574,-0.0607,0
21248990,0.6138,-0.5602,0.4186,-0.3664,0.0084,-0.0288,-0.1222,0
21249490,0.6148,-0.56,0.4178,-0.3659,-0.047,0.1504,-0.0803,0
21249990,0.6154,-0.56,0.4176,-0.3651,-0.0318,0.0123,-0.0921,0
21250490,0.616,-0.5602,0.4173,-0.3642,0.0574,-0.0748,-0.1426,0
21250990,0.6165,-0.5603,0.4168,-0.3636,-0.0077,-0.073,-0.0964,0
21251490,0.6171,-0.5604,0.4165,-0.3628,0.0036,-0.0067,-0.1068,0
21251990,0.6175,-0.5602,0.4164,-0.3625,0.0258,0.0257,-0.1326,0
21252490,0.6177,-0.5603,0.4163,-0.3622,-0.0375,-0.0305,-0.0855,0
21252990,0.6177,-0.5602,0.4165,-0.3621,-0.0304,-0.0338,-0.0489,0
21253490,0.6177,-0.5602,0.4167,-0.3618,-0.0176,-0.0506,-0.0752,0
21253990,0.6181,-0.5604,0.4163,-0.3614,0.0638,-0.0654,-0.1768,0
21254490,0.6183,-0.5606,0.4158,-0.3613,-0.0759,-0.1026,-0.0889,0
21254990,0.6183,-0.5632,0.4138,-0.3596,1.3374,-0.5295,1.7475,0
21255490,0.6191,-0.5604,0.4577,-0.3052,-2.529,-8.4572,26.1719,0
21255990,0.7354,-0.4047,0.4441,-0.3132,5.8374,3.2936,1.2941,0
21256490,0.7626,-0.3603,0.4939,-0.2115,0.0354,0.8742,0.2278,0
21256990,0.7894,-0.2862,0.5233,-0.1456,-0.1229,0.6489,-1.3969,0
21257490,0.8071,-0.1998,0.5461,-0.1028,-2.9529,-1.1546,-2.0338,0
21257990,0.8246,-0.0775,0.5497,-0.1089,-1.9446,1.1032,3.156,0
21258490,0.8342,0.0416,0.5328,-0.1358,-2.46,2.1479,2.7129,0
21258990,0.8303,0.1212,0.5143,-0.1773,-1.665,1.2306,-0.5696,0
21259490,0.8091,0.1885,0.4975,-0.2496,1.0405,1.8307,-1.0661,0
21259990,0.7791,0.2133,0.489,-0.3292,0.4633,1.2655,-3.9184,0
21260490,0.715,0.2536,0.4764,-0.4444,6.0466,2.2978,-2.4605,0
21260990,0.6382,0.2011,0.5017,-0.5482,3.8178,-5.7427,-14.3171,0
21261490,0.5553,0.0857,0.6389,-0.5255,-5.1015,7.5961,-3.4843,0
21261990,0.5717,0.0452,0.6485,-0.5006,-7.1956,-0.958,-1.3683,0
21262490,0.5688,0.1423,0.5715,-0.5742,6.7329,2.3314,-3.3699,0
21262990,0.5962,0.0961,0.6139,-0.5083,-2.3237,1.8318,-2.1823,0
21263490,0.6449,0.1051,0.5958,-0.467,1.2654,-0.3108,-3.6487,0
21263990,0.6911,0.1076,0.5783,-0.4198,-6.6661,-1.3004,-2.3792,0
21264490,0.7104,0.2088,0.5017,-0.4472,5.9615,0.5248,-3.5597,0
21264990,0.7617,0.1576,0.5065,-0.3722,-4.286,0.0452,-1.136,0
21265490,0.7931,0.1943,0.4484,-0.3636,2.6675,-0.4795,-5.1069,0
21265990,0.8182,0.1757,0.4416,-0.3235,-1.9906,1.1861,-0.0316,0
21266490,0.8346,0.1743,0.4224,-0.3076,1.5437,0.2097,-0.1371,0
21266990,0.8476,0.1339,0.4224,-0.2919,0.4796,1.4353,-1.8194,0
21267490,0.8429,0.0642,0.4518,-0.285,0.0899,0.9611,0.7898,0
21267990,0.8224,-0.0377,0.4864,-0.2926,-1.6214,3.0436,-4.1821,0
21268490,0.7671,-0.2263,0.5267,-0.2879,-5.3102,-4.7001,-1.8047,0
21268990,0.7195,-0.2861,0.5148,-0.3679,0.8262,1.1771,-0.4846,0
21269490,0.6362,-0.4107,0.5108,-0.4069,-1.49,-1.1881,5.3801,0
21269990,0.5922,-0.4773,0.4699,-0.448,3.2627,-1.8983,15.4217,0
21270490,0.6666,-0.3953,0.3901,-0.4972,11.2851,8.4291,-4.968,0
21270990,0.6281,-0.4436,0.4452,-0.4588,-2.6916,0.3616,1.9439,0
21271490,0.6525,-0.4165,0.4346,-0.4604,-0.9105,-1.6539,1.045,0
21271990,0.6681,-0.3954,0.4478,-0.4436,-0.5744,-2.5267,4.4083,0
21272490,0.7078,-0.3342,0.466,-0.4124,0.8839,-1.7683,5.5645,0
21272990,0.7527,-0.2599,0.4934,-0.3499,1.7065,-2.1691,6.131,0
21273490,0.7963,-0.1656,0.5108,-0.2785,-0.4643,-2.5368,1.958,0
21273990,0.8276,-0.0414,0.5127,-0.2246,-2.5136,-0.6884,-0.9731,0
21274491,0.8353,0.1052,0.5018,-0.1984,-2.2346,2.2962,-1.4265,0
21274991,0.8148,0.2243,0.4932,-0.2061,-1.1423,1.5877,0.1289,0
21275491,0.7847,0.3066,0.4879,-0.2284,-1.1257,-0.0428,-0.4463,0
21275991,0.7582,0.3592,0.4747,-0.266,-1.6331,2.3785,-2.052,0
21276491,0.7392,0.3817,0.4539,-0.3192,-0.4376,0.2932,-3.0731,0
21276991,0.709,0.401,0.4367,-0.3818,-0.0438,0.28,-4.7084,0
21277491,0.668,0.4225,0.4322,-0.4342,0.7478,1.4031,-2.7499,0
21277991,0.6335,0.4201,0.4394,-0.4787,2.086,1.7943,-3.4166,0
