SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
22757929,0.7641,0.3205,0.5587,-0.0353,0.0075,-0.0962,-0.2574,0
22758096,0.7641,0.3205,0.5587,-0.0361,0.0216,-0.0745,-0.2382,0
22758596,0.7641,0.3211,0.5583,-0.0366,0.0974,-0.071,-0.2252,0
22759096,0.7636,0.3228,0.558,-0.0354,0.0756,-0.0921,-0.1771,0
22759596,0.7625,0.3256,0.558,-0.0343,0.0582,-0.0001,0.1724,0
22760096,0.7615,0.3279,0.558,-0.0335,0.3909,-0.0385,0.2504,0
22760596,0.7637,0.3274,0.5554,-0.034,0.4358,0.0648,0.4249,0
22761096,0.7641,0.3326,0.5514,-0.0391,-0.5362,-0.1879,-0.4393,0
22761596,0.7646,0.3438,0.5429,-0.0497,-0.1739,-0.9956,-0.4749,0
22762096,0.7702,0.3569,0.5253,-0.0596,2.1241,1.1687,1.7046,0
22762596,0.7832,0.3755,0.4925,-0.0548,2.2507,1.612,2.3242,0
22763096,0.7966,0.4076,0.4451,-0.0337,1.946,0.7889,2.3025,0
22763596,0.8059,0.4467,0.3885,-0.0017,-0.0727,0.0919,2.6712,0
22764096,0.8127,0.4823,0.3256,0.0299,-0.3679,-0.9924,1.5291,0
22764596,0.8171,0.5122,0.2566,0.0649,-2.0103,-1.1659,0.1855,0
22765096,0.8172,0.5359,0.1895,0.0958,-2.2413,-1.1492,-1.6525,0
22765596,0.8105,0.5582,0.1325,0.1182,-1.9469,-0.8958,-4.0978,0
22766096,0.7975,0.583,0.0859,0.1291,-0.7107,-0.5448,-4.1171,0
22766596,0.7788,0.6119,0.0481,0.1292,-0.2432,-0.514,-3.3781,0
22767096,0.7587,0.6404,0.0165,0.1181,-0.3485,0.0929,-2.5542,0
22767596,0.7382,0.6672,-0.0058,0.099,0.3748,0.9783,-0.5931,0
22768096,0.7232,0.6856,-0.0138,0.0826,0.9859,1.6646,1.5194,0
22768596,0.7222,0.6868,-0.006,0.0816,0.9103,1.3847,1.3126,0
22769096,0.7317,0.6754,0.0149,0.0914,0.2911,0.7859,-0.1216,0
22769596,0.7458,0.6565,0.0463,0.1029,-0.2969,0.1081,-1.3776,0
22770096,0.7603,0.6347,0.086,0.1082,-0.8417,-0.2002,-2.522,0
22770596,0.7723,0.6123,0.1344,0.1025,-0.4899,-0.6528,-2.6707,0
22771096,0.7834,0.5867,0.185,0.0885,-0.9883,-1.9759,-1.95,0
22771596,0.7956,0.5545,0.2343,0.0684,-0.5345,-1.4391,-0.3551,0
22772096,0.8069,0.5159,0.2841,0.0458,-0.8759,-1.6367,0.5786,0
22772596,0.815,0.4738,0.3332,0.0189,0.0371,-0.6716,1.5047,0
22773096,0.8185,0.4328,0.3776,-0.009,1.2756,-0.2421,1.1639,0
22773596,0.8191,0.3974,0.4127,-0.0297,0.1723,0.2439,1.1155,0
22774096,0.8193,0.3683,0.4369,-0.0466,-0.1047,-0.4628,0.1089,0
22774596,0.815,0.3516,0.4567,-0.0606,-0.8464,-0.2192,-0.3376,0
22775096,0.8059,0.3492,0.4724,-0.0734,-0.0798,0.4589,0.3806,0
22775596,0.7964,0.356,0.4827,-0.0774,1.1185,0.2362,0.9901,0
22776096,0.7903,0.3647,0.4865,-0.0755,1.7467,-0.4093,0.8532,0
22776596,0.791,0.367,0.4851,-0.066,0.6752,-1.0701,0.8178,0
22777096,0.795,0.3698,0.4776,-0.0562,0.7592,-0.6271,0.646,0
22777596,0.8026,0.3757,0.4613,-0.0432,0.5506,-0.2071,0.7974,0
22778096,0.8109,0.392,0.4336,-0.0256,0.562,-0.0502,1.3344,0
22778596,0.8168,0.4219,0.3935,-0.003,0.7537,-0.0453,2.0967,0
22779096,0.8188,0.4598,0.343,0.0236,0.2971,-0.6061,1.6003,0
22779596,0.8146,0.5033,0.2833,0.0536,-0.261,-0.8356,1.1687,0
22780096,0.803,0.5475,0.2192,0.086,-1.4983,-1.5208,0.271,0
22780596,0.7869,0.5848,0.1597,0.1149,-1.64,-2.0306,-1.0334,0
