SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
34576639,0.7384,-0.1559,0.6454,0.1182,-0.0005,0.0214,0.0656,0
34576806,0.7386,-0.1554,0.6453,0.1183,-0.0003,-0.0108,0.0568,0
34577306,0.7386,-0.1554,0.6452,0.1187,-0.0312,-0.0301,0.082,0
34577806,0.7385,-0.1551,0.6454,0.1185,-0.0244,-0.0114,0.0949,0
34578306,0.7384,-0.1547,0.6456,0.1184,-0.0099,-0.0189,0.0677,0
34578806,0.7384,-0.1543,0.6457,0.1183,-0.0241,-0.0046,0.0527,0
34579306,0.7385,-0.1538,0.6458,0.1182,-0.0122,-0.0187,0.0516,0
34579806,0.7384,-0.1533,0.646,0.1182,-0.0043,0.0315,0.0624,0
34580306,0.7384,-0.1531,0.6461,0.1181,-0.0376,-0.0897,0.0281,0
34580806,0.7384,-0.1524,0.6463,0.1177,-0.0048,-0.0058,0.1121,0
34581306,0.7384,-0.1522,0.6463,0.1178,-0.022,-0.0045,0.0282,0
34581806,0.7384,-0.1522,0.6463,0.1179,-0.0472,-0.0823,0.0507,0
34582306,0.7385,-0.1516,0.6464,0.1179,-0.0436,-0.0185,0.0567,0
34582806,0.7385,-0.1512,0.6463,0.1182,-0.0117,0.0389,0.0518,0
34583306,0.7385,-0.151,0.6463,0.1184,-0.0561,-0.0995,0.0367,0
34583806,0.7386,-0.1505,0.6464,0.1184,-0.0875,-0.0526,0.0411,0
34584306,0.7387,-0.1498,0.6464,0.1185,-0.0378,0.0219,0.0687,0
34584806,0.7388,-0.1496,0.6464,0.1186,-0.0393,-0.0843,0.0639,0
34585306,0.7389,-0.1491,0.6463,0.1185,-0.077,-0.0261,0.0592,0
34585806,0.7391,-0.1486,0.6462,0.1186,-0.0657,-0.0405,0.0847,0
34586306,0.7396,-0.1475,0.6459,0.1188,-0.2154,-0.185,0.2697,0
34586806,0.7412,-0.1441,0.6445,0.1201,-0.4343,-0.1167,0.1257,0
34587306,0.7442,-0.1377,0.6424,0.1206,0.1761,-0.3958,-0.5403,0
34587806,0.7449,-0.1334,0.6429,0.1188,-0.4487,-1.132,-0.6574,0
34588306,0.7473,-0.1209,0.644,0.1109,-0.2169,-0.4808,0.1009,0
34588806,0.7495,-0.1079,0.647,0.0898,-0.5534,-1.0089,0.2031,0
34589306,0.7527,-0.0912,0.6487,0.0656,0.0337,1.0291,0.869,0
34589806,0.7559,-0.0744,0.6492,0.0397,0.0257,-0.4391,-0.314,0
34590306,0.7572,-0.06,0.6501,0.0182,-0.118,0.2351,1.1223,0
34590806,0.7626,-0.0465,0.6452,0.0036,0.0795,0.2158,-0.6848,0
34591306,0.7665,-0.0399,0.641,-0.0019,0.8993,0.8251,-0.8077,0
34591806,0.7635,-0.0425,0.6444,-0.0027,-0.4089,-0.0385,-0.2728,0
34592306,0.7601,-0.038,0.6487,-0.0032,-0.1871,0.6677,0.8326,0
34592806,0.7578,-0.0341,0.6516,-0.0027,0.5913,0.4252,-0.6484,0
34593306,0.7506,-0.0344,0.6599,-0.0015,-0.5203,-0.1128,1.5669,0
34593806,0.7472,-0.0341,0.6637,-0.0106,-0.1582,-1.0382,-0.9742,0
34594306,0.7405,-0.0292,0.6711,-0.0195,-0.5756,-0.2213,0.8827,0
34594806,0.7364,-0.0248,0.6752,-0.033,0.2878,0.1391,-0.7255,0
34595306,0.7282,-0.0237,0.6837,-0.0403,-0.3125,0.3028,0.7546,0
34595806,0.7244,-0.0219,0.6875,-0.0474,0.136,0.2834,0.2564,0
34596306,0.7256,-0.0211,0.6863,-0.0453,0.665,0.9,0.5175,0
34596806,0.7286,-0.0205,0.6835,-0.0386,-0.2097,-0.4027,-0.1412,0
34597306,0.7326,-0.021,0.6794,-0.0366,-0.2344,-0.6473,0.1449,0
34597806,0.7361,-0.0208,0.6753,-0.0413,-0.0734,-0.2702,-0.2832,0
34598306,0.7405,-0.017,0.67,-0.0498,-0.3512,0.1897,1.158,0
34598806,0.7499,-0.0116,0.6587,-0.0609,0.532,0.4967,0.4805,0
34599306,0.7569,-0.0104,0.6498,-0.0693,-0.139,-0.4333,-0.0733,0
34599806,0.7619,-0.0102,0.6435,-0.0727,-0.4692,0.0722,0.0051,0
34600306,0.7643,-0.0097,0.6405,-0.0751,-0.4299,-0.4388,-0.9128,0
34600806,0.7639,-0.0079,0.6407,-0.0767,-0.0587,-0.2786,-0.5919,0
34601306,0.7622,-0.0069,0.6425,-0.0789,-0.1892,0.0553,0.4729,0
34601806,0.7623,-0.0054,0.6424,-0.0787,0.2879,0.3861,0.4586,0
34602306,0.7644,-0.0048,0.6405,-0.0732,0.3713,0.2631,0.0188,0
34602806,0.7637,-0.008,0.6421,-0.0668,-0.2836,-0.2365,-0.1064,0
34603306,0.7633,-0.0081,0.6432,-0.0599,-0.1651,-0.0409,0.1887,0
34603806,0.7629,-0.0086,0.6443,-0.0537,0.2142,-0.247,-0.4684,0
34604306,0.7584,-0.0092,0.6499,-0.0487,-0.9561,-0.5682,0.4718,0
34604806,0.7557,-0.0051,0.653,-0.05,0.5267,-0.0708,-0.5122,0
34605306,0.7466,-0.0039,0.6634,-0.0501,-0.7088,-0.315,0.8841,0
34605806,0.7425,-0.0009,0.6674,-0.0578,0.5851,-0.158,0.067,0
34606306,0.7351,-0.0012,0.6752,-0.0619,-0.4284,0.6156,-0.1285,0
34606806,0.7288,-0.0014,0.6814,-0.0673,-0.1838,-0.3223,0.0596,0
34607306,0.7272,-0.0005,0.6835,-0.0637,0.2616,1.3325,1.0943,0
34607806,0.7302,0.0012,0.6807,-0.0585,0.2815,-0.728,-0.7311,0
34608306,0.7301,-0.0002,0.6812,-0.0546,-0.5031,-0.8114,0.514,0
34608806,0.7313,-0.0016,0.6798,-0.0553,0.0185,0.0823,-0.1253,0
34609306,0.7323,-0.001,0.6786,-0.0571,-0.1931,0.1554,-0.0136,0
34609806,0.7331,0.0003,0.6775,-0.0599,-0.2699,-0.0738,0.4193,0
34610306,0.7362,0.0019,0.6737,-0.0646,0.3655,0.317,0.3797,0
34610806,0.7415,0.0019,0.6673,-0.0693,0.049,0.0512,0.5937,0
34611306,0.7489,0.0007,0.6586,-0.0733,0.0215,0.1432,-0.0675,0
34611806,0.7549,-0.0032,0.6514,-0.076,-0.4831,-0.317,-0.6456,0
34612306,0.7581,-0.0033,0.6476,-0.0775,-0.6862,-0.7597,-0.4728,0
34612806,0.7576,-0.002,0.6478,-0.0802,-0.4453,-0.1552,0.143,0
34613306,0.757,-0.0005,0.6483,-0.0818,0.2216,0.1413,0.128,0
